id,title,created,description_from_url,description
530717107,Cashier - Restaurant,2017-04-12T09:23:17Z,0,skillset account cashier take customer order counter receive payment present change customer make reservation customer receive food check waiter customer appeal impatient irritate customer especially rush hour manage register include credit card cash operation ensure balance register end shift work period keep track inventory ensure restaurant supply order time count cash
530717104,Accounts Executive,2017-04-12T09:23:17Z,0,skillset prepare asset liability capital account entry compile analyze account information prepare asset liability capital account entry compile analyze account information document financial transaction enter account information recommend financial action analyze account option summarize current financial status collect information prepare balance sheet profit loss statement report substantiate financial tra
530717165,Article Assistants,2017-04-12T09:23:18Z,0,skillset audit firm development attitude associate internationalaudit firm branch abroad india open present article assistant cochin branch offer conductive environment development attitude theoretical practical knowledge student offer exposure best class industry trait standard practice
530717180,Finance Manager,2017-04-12T09:23:19Z,0,skillset financial instrument oversee flow cash oversee flow cash financial instrument plan direct activity worker branch department prepare report require law regulation company policy ensure compliance applicable law procedure
530717178,Senior Manager,2017-04-12T09:23:20Z,0,skillset excellent analytical communication presentation skill preparation alco pack input discussion alco meet monitor report various parameter liquidity interest rate risk alco record dissemination alco decision minute compute ftp rate base rate mclr etc line board approve policy
530717163,Treasury Manager - FX and Derivative,2017-04-12T09:23:20Z,0,skillset finance account charter accountant forward yr relevant experience handle retail branch network mba premier institute charter accountant knowledge financial sector large strong knowledge trade forex prefer knowledge rbi regulation around forex would add advantage sale background
530717190,Accountant,2017-04-12T09:23:20Z,0,skillset accountant finance reconcile general subsidiary bank account gather balance information provide financial status information prepare special report complete special project correct error post adjust journal entry maintain general ledger account reconcile account receivable detail control account adjust entry amortization prepaids analyze reconcile retainage account payable ledger prepare fix as
530717202,Accountant,2017-04-12T09:23:21Z,0,skillset indian equity collate data need update maintain process data indian equity internet candidate need collate data public domain analyze summarize data indian company financial non financial statement compliance report filing historical current financial statement inputting data structure format timely manner work balance sheet profit loss statement education
530717208,Opening For Commercial Officer,2017-04-12T09:23:22Z,0,skillset account executive accountant ob description visit customer place within region regard payment follow collection collect payment advice customer reconciliation
530717235,Treasury Manager - FX and Derivatives,2017-04-12T09:23:23Z,0,skillset finance account charter accountant forward option yr relevant experience handle retail branch network mba premier institute charter accountant knowledge financial sector large strong knowledge trade forex prefer knowledge rbi regulation around forex would add advantage sale background good communication skill flair currency research
530717233,Senior Investment Associate,2017-04-12T09:23:23Z,0,skillset finance investment bank valuation due diligence market research analyst level coverage undertake industry market research activity food agri logistics sector use multiple source information partner level coverage support partner identify investment opportunity provide depth research actively engage initiate meeting portfolio company must work senior management build company pipeline deal source client
530717245,Accounts Executive,2017-04-12T09:23:24Z,0,skillset finance account tax accountant tally designation accountant account executive department account finance industry medium entertainment desire candidate profile qualification b com com experience year year salary best industry location chennai gender male require skill must good experience general account bank activity account finalisation tally vat cst service tax income tax must experience br
530717255,Accounts Executive,2017-04-12T09:23:24Z,0,skillset keep record purchase make entry candidate responsible handle tally software responsible handle incoming outgo invoice keep record purchase make entry assist accountant account job experience must posse knowledge tally software candidate hand tally would prefer experience month similar profile would add education skill g
530717276,Relationship Manager - Wealth Management,2017-04-12T09:23:25Z,0,skillset wealth management investment advisory relationship management finance identify customer need provide right financial plan assistance asset allocation help investment advisory service build deepen relationship exist uhni individual investable surplus cr customer achieve increase share wallet acquire new client firm also develop new territory able work colleague
530717291,Accounts Manager,2017-04-12T09:23:26Z,0,skillset account manager account account manager ba mcom candidate male female six year exp account
530717353,Senior Manager,2017-04-12T09:23:27Z,0,skillset excellent analytical communication presentation skill preparation alco pack input discussion alco meet monitor report various parameter liquidity interest rate risk alco record dissemination alco decision minute compute ftp rate base rate mclr etc line board approve policy
530717347,Area Manager Collection,2017-04-12T09:23:28Z,0,skillset bd business development sale generate lead client acquisition acm responsible high bucket collection udaipur region product commercial vehicle construction equipment auto loan
530717379,Wealth Planning Executive,2017-04-12T09:23:30Z,0,skillset purchase life insurance policy issuance policy enquire lead interest purchase life insurance policy collect document interest lead ensure timely issuance policy resolve pending issue acquire new customer personal reference cold walk in explain benefit life insurance potential customer candidate come office morning even report spend afternoon field build new business understa
530717383,Equity Dealer,2017-04-12T09:23:30Z,0,skillset relationship management candidate go client meet maximize revenue relationship management exist account punch order behalf client pm candidate go client meet activation dormant customer service retention lead share bank pure relationship management conduct client visit maintain build relationship advise update customer daily movement
530717414,Telecom Billing Opening,2017-04-12T09:23:32Z,0,skillset telecom bill bill experience telecom bill exp yr work location bangalore skill single view developer operation test profile encourage max day notice period also accept ready work bangalore location
530717471,Chief Manager- ALCO,2017-04-12T09:23:34Z,0,skillset finance account charter accountant forward option preparation alco pack input discussion alco meet monitor report various parameter liquidity interest rate risk alco record dissemination alco decision minute compute ftp rate base rate mclr etc line board approve policy policy architecture include periodic review alm alco policy track applicable regulatory circular
530717506,Account Manager Enterprise Sales,2017-04-12T09:23:36Z,0,skillset account manager enterprise sale generate business smb enterprise business unit assign territory grow business new exist account identify implement innovative business development sale strategy increase revenue manage entire sale cycle delivery customize business solution e manage application host service host message service data center co location service manage infrastructure service
530717531,Manager- Debt Capital Market,2017-04-12T09:23:37Z,0,skillset finance pitch book deal structure lead management debt capital market team origination structure support deal origination balance sheet analysis lead generation lead management pitch book support execution financial model structure regulatory compliance term sheet investor docket information memorandum support deal closure documentation compliance
530717556,Area Collection Manager,2017-04-12T09:23:38Z,0,skillset bd business development sale generate lead client acquisition acm responsible high bucket collection udaipur region product commercial vehicle construction equipment auto loan
530717582,Finance and Accounts Manager,2017-04-12T09:23:38Z,0,skillset effective control report stock position specifically focus age obsolete stock establish account system control ensure proper budgetary control expense keep within forecast review preparation revise annual business plan forecast etc manage control statutory obligation effective control report stock position specifically focus age obsolete stock prepare review annual bud
530717619,Key Accounts Manager,2017-04-12T09:23:40Z,0,skillset finance account tax accountant tally handle key account pan india build manage pre sale team pan india deem necessary maintain team independent profit center lead generation clientele develop new business relationship generate negotiate new account solution division handle client presentation commercial actively successfully manage sale process active service follow handle troubleshoot accountabl
530717642,Account Management-operations,2017-04-12T09:23:41Z,0,skillset strong inclination towards number excel spreadsheet formula query receivables track dso report preparation manitain data per requirement management authority use various aspect like graphic dashboard pivot table etc co ordinate department data analyse present improvement etc make presentation review daily monthly basis responsible prepare age report region wise reven
530717623,Sr Accountant,2017-04-12T09:23:41Z,0,skillset must experience relate account candidate must work experience account assistance candidate must experience relate account candidate must do account till finalization p l candidate must experience file service tax vat n others maintain data client vendor send monthly bill client payment followup via call mail
530717624,Accounts Associate,2017-04-12T09:23:41Z,0,skillset knowledge oracle financials add advantage good knowledge interest learn account statutory compliance file management m office knowledge oracle financials add advantage education qualification b com com bba mba finance
530717646,Deputy Manager - Collections,2017-04-12T09:23:41Z,0,skillset finance account tax accountant tally role responsible manage undertake collection process debt allocate role responsible keep track portfolio specific bucket assign area incumbent responsible track control delinquency area bucket wise dpd wise focus non starter responsible allocate achieve target agency house team th
530717705,Accounts Assistant,2017-04-12T09:23:44Z,0,skillset tds cst vat job open account executive account assistant experience excise tally software journal cash entry record expense must know tally software general ledger maintain book account company task orient responsible admin status report issue contact report meeting handle aspect finance receivable payable management mi report preparation sale tax return tds return skill require
530717695,Accounts Receivables Caller,2017-04-12T09:23:44Z,0,skillset finance account tax accountant tally designation ar caller job description excellent write oral communication skill minimum year ar call experience detail understand revenue cycle management rcm u health care provider expert denial management follow claim collection result orient ability handle multiple client able resolve bill issue result delay payment must
530717735,FINANCE HEAD,2017-04-12T09:23:45Z,0,skillset finance finance head account mi erp handle task manage financial account unit establish develop appropriate internal system control procedure account finance function improve performance team member mi analysis observation sheet finalization balance sheet profit loss account schedule per account standard preparation project report new project plan manage team accountant
530717728,Account Manager Enterprise Sales,2017-04-12T09:23:45Z,0,skillset account manager enterprise sale generate business smb enterprise business unit assign territory grow business new exist account identify implement innovative business development sale strategy increase revenue manage entire sale cycle delivery customize business solution e manage application host service host message service data center co location service manage infrastructure service
530717856,Territory Collection Manager,2017-04-12T09:23:49Z,0,skillset finance account tax accountant tally overall handle collection responsibility bucket follow collection team regular basic help executive achieve target make collection easy collection home loan bucket
530717969,Assistant Manager - Collections,2017-04-12T09:23:52Z,0,skillset customer support customer service customer care cce cse role responsible manage undertake collection process debt allocate role responsible keep track portfolio specific bucket assign area incumbent responsible track control delinquency area bucket wise dpd wise focus non starter responsible allocate achieve target agency
530717912,Sr Auditor,2017-04-12T09:23:52Z,0,skillset experience evaluate balance sheet calculate taxation direct indirect experience evaluate balance sheet calculate taxation direct indirect analyze credibility term eligibility sr auditor person kind experience audit minimum year client repute organisation education real estate immigration
530717965,Officer-account,2017-04-12T09:23:54Z,0,skillset must good knowledge account excel work tally pf esi require visit work three unit company kanpur rania unnao responsible activity relate salary wage preparation factory worker like account attendance management work relate pf esi etc
530718102,portfolio Manager - Commercial Vehicle,2017-04-12T09:24:00Z,0,skillset bd business development sale generate lead client acquisition commercial vehicle construction equipment loan sale generate new business thorough knowledge commercial vehicle relate product new refinance commercial vehicle
530718192,Accounts Payable,2017-04-12T09:24:01Z,0,skillset excellent verbal write english communication competent work independently process purchase bill till payment good knowledge asset account monthly close activity like provision accrual payroll entry vendor age report payment management good experience sap fico mm m office knowledge change point microsoft dynamic gp formerly great plain add advantage ready work flexible timing different time zone excel
530718130,Accounts And Finance Manager,2017-04-12T09:24:01Z,0,skillset finance account tax accountant tally handle mentor team peoplefinalisation account balance sheet arrange buyer credit bank strong bank network create letter credit bank guarantee bank coordinate banker work capital facility prepare cma data renewal work capital facility compliance work relate bank roc work capital facility prepare document basel ii rat various rat agencie
530718186,Accountant,2017-04-12T09:24:03Z,0,skillset knowledge h ling account report bsp iata agent creditor knowledge handle account report bsp iata agent creditor prepare sale purchase bill credit note outstanding statement monitor debtor expense accrual book age day ensure timely reversal accrual review collection report manage director determine status collection amount outstanding balan
530718200,Officer/manager-accounts,2017-04-12T09:24:03Z,0,skillset account finance tax company secretary audit handle account finance taxation must year experience work sap b com com candidate year relevant experience
530718359,Auditor Office,2017-04-12T09:24:10Z,0,skillset finance account tax accountant tally audit work department e hr admin stock etc also posse strong problem solve ability exercise sound judgement co ordinate department prepare audit report submit management six sigma quality sme experience prefer excellent communication skill english eligibility candidate experience year international bpo quality analyst
530718392,Accountants,2017-04-12T09:24:11Z,0,skillset create project account account system project accountant position accountable monitor progress project investigate variance approve expense ensure project billing issue customer payment collect principal account ability create project account account system
530718389,Required Accountant,2017-04-12T09:24:11Z,0,skillset bank cash transaction prepare cheque payment urgent require accountant beauty cosmetic product handle bank cash transaction prepare payment receipt month week prepare cheque payment take care voucher make payment
530718415,Chartered Accountant,2017-04-12T09:24:12Z,0,skillset consolidation tax audit maintain prepare mi report present management accountable current inventory valuation cash flow projection forecast analysis budget v actual variance prepare detail financial budget organization work activity prepare detail financial budget organization contribute cash flow projection relate analysis report complete internal external audit
530718461,O2C Collections Analyst,2017-04-12T09:24:14Z,0,skillset finance account tax accountant tally season greeting call walk opening plus mnc kpo bpos middle management level position opening infosys bpo bangalore chennai hyderabad etc call walk monday saturday
530718508,Officer - Accounts,2017-04-12T09:24:15Z,0,skillset finance account tax accountant tally job description provide support team make timely payment vendor employee prepare process account payable cheque error free data entry generation accurate report preparation audit submission return bank reconciliation preparation invoice etc support team reconciliation account e g bank reconciliation confirmation outstanding balance etc assist team calculate var
530718478,Collection Executive,2017-04-12T09:24:15Z,0,skillset preparation payment voucher account proper narration daily basis regular update cash bank transaction assist process finalization account check verification bill payable preparation payment voucher account proper narration daily basis petty cash handle reconciliation cash bankbook regular coordination liaison bank time time regular update implementation generate report
529277629,VACANCY IN BANKING SECTOR FOR BRANCH OPERATION MANAGER,2017-04-09T22:16:08Z,0,skillset acquisition bank bank bank operation branch bank job description many large company bank mortgage firm small branch local regional level person charge oversee branch call branch manager responsible daily activity occur within branch ensure financial success activity vary depend type branch service offer daily basis activity could
529277598,International voice process,2017-04-09T22:16:08Z,0,skillset technical support semi voice process hi greeting erics service vamsi spot offer one big n c one day offerclient qualification graduate pg bell canada customer service internet service provider round interview hr voice accent versant operation sitel sal way cab lv every month bonus apart incentive join immediate work location hitech city qualification graduation pgs
529277643,VACANCY IN BANKING SECTOR FOR BRANCH OPERATION MANAGER,2017-04-09T22:16:09Z,0,skillset acquisition bank bank bank operation branch bank job description many large company bank mortgage firm small branch local regional level person charge oversee branch call branch manager responsible daily activity occur within branch ensure financial success activity vary depend type branch service offer daily basis activity could
529277638,VACANCY IN BANKING SECTOR FOR BRANCH OPERATION MANAGER,2017-04-09T22:16:09Z,0,skillset acquisition bank bank bank operation branch bank job description many large company bank mortgage firm small branch local regional level person charge oversee branch call branch manager responsible daily activity occur within branch ensure financial success activity vary depend type branch service offer daily basis activity could
529277641,VACANCY IN BANKING SECTOR FOR BRANCH OPERATION MANAGER,2017-04-09T22:16:09Z,0,skillset acquisition bank bank bank operation branch bank job description many large company bank mortgage firm small branch local regional level person charge oversee branch call branch manager responsible daily activity occur within branch ensure financial success activity vary depend type branch service offer daily basis activity could
529277776,Cost Accounts-ICWA,2017-04-09T22:16:13Z,0,skillset finance executive cost account icwa sap cost background candidate qualify icwa year relevant work experience cost support business e market manufacture supply chain provide accurate timely cost information enable take relevant timely decision provide product cost information primarily market periodic basis quarterly replacement cost well periodic ad hoc cost
529277847,BRANCH BANKING OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:14Z,0,skillset acquisition bank bank bank operation branch bank job description order achieve best result due time operation manager need delegate duty various team member give specific task accomplish overall success bank operation role operation manager bank environment also involve carry assessment activity performance bank staff evaluate transaction report account balan
529277814,Wealth Manager,2017-04-09T22:16:14Z,0,skillset wealth manager financial service advisory open wealth manager kindly find job detail mandatory fill current ctc expect ctc notice period total experience job detail company profile well diversify financial service company india offer service across brokerage across asset class equity cash derivative commodity currency investment bank wealth management distribution third party financial pr
529277840,BRANCH BANKING OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:15Z,0,skillset acquisition bank bank bank operation branch bank job description order achieve best result due time operation manager need delegate duty various team member give specific task accomplish overall success bank operation role operation manager bank environment also involve carry assessment activity performance bank staff evaluate transaction report account balan
529277818,JOB FOR OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:15Z,0,skillset acquisition bank bank bank operation branch bank job description many large company bank mortgage firm small branch local regional level person charge oversee branch call branch manager responsible daily activity occur within branch ensure financial success activity vary depend type branch service offer daily basis activity could
529277844,BRANCH BANKING OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:16Z,0,skillset acquisition bank bank bank operation branch bank job description order achieve best result due time operation manager need delegate duty various team member give specific task accomplish overall success bank operation role operation manager bank environment also involve carry assessment activity performance bank staff evaluate transaction report account balan
529277848,BRANCH BANKING OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:16Z,0,skillset acquisition bank bank bank operation branch bank job description order achieve best result due time operation manager need delegate duty various team member give specific task accomplish overall success bank operation role operation manager bank environment also involve carry assessment activity performance bank staff evaluate transaction report account balan
529277825,URGENT HIRING FOR OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:16Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager individual carry administrative account duty financial institution organize coordinate bank service job description involve manage bank operation team deliver effective financial service client responsible ensure outstanding customer relation high sale well imbibe bank
529277841,BRANCH BANKING OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:16Z,0,skillset acquisition bank bank bank operation branch bank job description order achieve best result due time operation manager need delegate duty various team member give specific task accomplish overall success bank operation role operation manager bank environment also involve carry assessment activity performance bank staff evaluate transaction report account balan
529277824,"Required Chartered Accountant -Senior Autitor in CA Firm ,Salary up to 9 lacks",2017-04-09T22:16:16Z,0,skillset charter accountant audit taxation statutory audit revenue audit company profil e shridhar associate saa saa global leader audit assurance tax transaction advisory service quality service deliver help build brand corporate market india abroad uk france usa germany netherland singapore australia associate play vital role support saas various service across world saa operate city india mumba
529277857,"SBA, Team Leader, ARM, FM",2017-04-09T22:16:17Z,0,skillset sale trade bpo sale sale dear candidate greeting capital life research company glad announce expand company hire fresher well experience candidate job description job profile ba sba tl stl arm fm job role back office sale team handle client coordination job type full time job location indore experience require fresh experience apply mode recruitment face face
529278048,URGENT VACANCY FOR OPERATION MANAGER,2017-04-09T22:16:26Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager help establish maintain facilitate financial institution method business operation manager likely oversee transaction report ensure high degree accuracy maintain bank also work ensure procedure relate cash hand total armor car pickup facility maintenance subject handle properl
529278043,URGENT VACANCY FOR OPERATION MANAGER,2017-04-09T22:16:26Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager help establish maintain facilitate financial institution method business operation manager likely oversee transaction report ensure high degree accuracy maintain bank also work ensure procedure relate cash hand total armor car pickup facility maintenance subject handle properl
529278047,URGENT VACANCY FOR OPERATION MANAGER,2017-04-09T22:16:26Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager help establish maintain facilitate financial institution method business operation manager likely oversee transaction report ensure high degree accuracy maintain bank also work ensure procedure relate cash hand total armor car pickup facility maintenance subject handle properl
529278070,BRANCH BANKING OPERATION MANAGER,2017-04-09T22:16:26Z,0,skillset bank bank bank operation operation sale job description branch manager operation manager support branch manager oversee efficient operation branch ensure operational function completely properly perform staff convey feel trust service security satisfaction customer staff duty assistant bank branch manager contingent scope service offer facilit
529278041,URGENT VACANCY FOR OPERATION MANAGER,2017-04-09T22:16:26Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager help establish maintain facilitate financial institution method business operation manager likely oversee transaction report ensure high degree accuracy maintain bank also work ensure procedure relate cash hand total armor car pickup facility maintenance subject handle properl
529278080,BRANCH BANKING OPERATION MANAGER,2017-04-09T22:16:27Z,0,skillset bank bank bank operation operation sale job description branch manager operation manager support branch manager oversee efficient operation branch ensure operational function completely properly perform staff convey feel trust service security satisfaction customer staff duty assistant bank branch manager contingent scope service offer facilit
529278098,HIRING FOR OPERATION MANGER,2017-04-09T22:16:27Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager individual carry administrative account duty financial institution organize coordinate bank service job description involve manage bank operation team deliver effective financial service client responsible ensure outstanding customer relation high sale well imbibe bank
529278072,BRANCH BANKING OPERATION MANAGER,2017-04-09T22:16:27Z,0,skillset bank bank bank operation operation sale job description branch manager operation manager support branch manager oversee efficient operation branch ensure operational function completely properly perform staff convey feel trust service security satisfaction customer staff duty assistant bank branch manager contingent scope service offer facilit
529278081,BRANCH BANKING OPERATION MANAGER,2017-04-09T22:16:27Z,0,skillset bank bank bank operation operation sale job description branch manager operation manager support branch manager oversee efficient operation branch ensure operational function completely properly perform staff convey feel trust service security satisfaction customer staff duty assistant bank branch manager contingent scope service offer facilit
529278061,HIRING FOR OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:27Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager individual carry administrative account duty financial institution organize coordinate bank service job description involve manage bank operation team deliver effective financial service client responsible ensure outstanding customer relation high sale well imbibe bank
529278058,HIRING FOR OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:27Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager individual carry administrative account duty financial institution organize coordinate bank service job description involve manage bank operation team deliver effective financial service client responsible ensure outstanding customer relation high sale well imbibe bank
529278078,BRANCH BANKING OPERATION MANAGER,2017-04-09T22:16:27Z,0,skillset bank bank bank operation operation sale job description branch manager operation manager support branch manager oversee efficient operation branch ensure operational function completely properly perform staff convey feel trust service security satisfaction customer staff duty assistant bank branch manager contingent scope service offer facilit
529278066,HIRING FOR OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:27Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager individual carry administrative account duty financial institution organize coordinate bank service job description involve manage bank operation team deliver effective financial service client responsible ensure outstanding customer relation high sale well imbibe bank
529278079,BRANCH BANKING OPERATION MANAGER,2017-04-09T22:16:27Z,0,skillset bank bank bank operation operation sale job description branch manager operation manager support branch manager oversee efficient operation branch ensure operational function completely properly perform staff convey feel trust service security satisfaction customer staff duty assistant bank branch manager contingent scope service offer facilit
529278063,HIRING FOR OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:27Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager individual carry administrative account duty financial institution organize coordinate bank service job description involve manage bank operation team deliver effective financial service client responsible ensure outstanding customer relation high sale well imbibe bank
529278054,HIRING FOR OPERATION MANAGER IN BACK OFFICE,2017-04-09T22:16:27Z,0,skillset acquisition bank bank bank operation branch bank job description bank operation manager individual carry administrative account duty financial institution organize coordinate bank service job description involve manage bank operation team deliver effective financial service client responsible ensure outstanding customer relation high sale well imbibe bank
