id,title,created,description_from_url,description
527744458,Senior Associate Technology - ATG,2017-04-07T17:00:30Z,0,skillset agile basic oracle database application server job number description sapientrazorfish new breed transformation partner purpose build help company reimagine business radical customer centricity employee office around globe capability span growth business model strategy new product service innovation customer experience enterprise digital transformation modernization omni channel com
527744483,SR TECHNICAL LEAD,2017-04-07T17:00:31Z,0,skillset oracle recruitment management lead part project team develop implement solution product per requirement client within define parameter time quality attend status call customer team escalate senior management drive resource plan keep track team performance high customer satisfaction drive recruitment resourcing process work closely hr team man
527744527,Web Infrastructure Technical Analyst,2017-04-07T17:00:31Z,0,skillset nosql webcenter unix report risk management group role profile template job title digital platform engineer corporate grade ba4 report line manager job title digital platform lead engineer direct report applicable na business area group centre department function level channel engineer department function level na primary location india pune hinjewadi iar regulate role yes barclays move lend invest protect money customer
527744476,Assistant Manager - Dealers Commission,2017-04-07T17:00:31Z,0,skillset workflow sap oracle report focus manage commission team include set appropriate goal objective key priority ensure team base task complete accuracy timeliness process routine adhere toapproval requirement integrity level use best practice meet specify service level agreement manage deliver accurate process timely payment commission maintenance development robust comm
527744499,Technical Specialist,2017-04-07T17:00:32Z,0,skillset infrastructure management management develop deliver code work assign accordance time quality cost standard work upon new request raise client develop feature documentation work develop code project per work assignation maintain exist project resolve issue occur exist project experience year qualification b tech position skill prima
527744496,LEAD CONSULTANT,2017-04-07T17:00:32Z,0,skillset report quality standard create assign track project module work plan delivery also provide technical guidance work completion prepare submit status report minimize exposure risk project closure escalation create work plan monitor track work schedule time delivery per define quality standard develop guide team member enhance technical capability
527744588,TEST LEAD,2017-04-07T17:00:33Z,0,skillset report quality standard create assign track project module work plan delivery also provide technical guidance work completion prepare submit status report minimize exposure risk project closure escalation participate functional well technical discussion client team create work plan monitor track work schedule time delivery per define quality standard
527744581,Technical Architect,2017-04-07T17:00:34Z,0,skillset javascript defect analysis idea java security unitedhealth group focus thing do yet help improve life way unthinkable think enjoy work elite team empower best please consider opportunity see idea come life unitedhealth group know innovative approach health care widely regard innovator think leader execu
527744619,Sr ROR / Ruby on Rails Developer,2017-04-07T17:00:35Z,0,skillset agile json soap rest linux development delivery exp ruby rail hand exp rail x x rail x x framework strong ruby rail web service json ajax etc familiar agile development methodology desire profile good ability understand discus design develop test document troubleshoot interactive ajax enable rail application use rest soap sql experience collaboration tool like assembla highly desirable experi
527744607,LEAD CONSULTANT,2017-04-07T17:00:35Z,0,skillset report quality standard create assign track project module work plan delivery also provide technical guidance work completion prepare submit status report minimize exposure risk project closure escalation create work plan monitor track work schedule time delivery per define quality standard develop guide team member enhance technical capability
527744600,MEMBER TECHNICAL STAFF,2017-04-07T17:00:35Z,0,skillset report production test design create assign track work plan delivery also provide technical guidance work completion assign work team member create new manifold design new assembly release part prototype test assembly release document production interact client create work plan report track schedule mentor guide train junior member team review drawing
527744611,Windows Mobile Architect Professionals,2017-04-07T17:00:35Z,0,skillset javascript multiple objective c android c accenture technology power client business innovative emergingchanging way people customer experience work life entertainment join accenture technology translate operational need world government lead business innovative technical solution enable good serve customersyour friend family neighbor l
527744618,Sr ROR / Ruby on Rails Developer,2017-04-07T17:00:35Z,0,skillset agile json soap rest linux development delivery exp ruby rail hand exp rail x x rail x x framework strong ruby rail web service json ajax etc familiar agile development methodology desire profile good ability understand discus design develop test document troubleshoot interactive ajax enable rail application use rest soap sql experience collaboration tool like assembla highly desirable experi
527744599,TECHNICAL ARCHITECT,2017-04-07T17:00:35Z,0,skillset design quality standard conceptualize design deliver product sustenance delivery team per define scope standard particular technology architect design develop team solution product sustenance delivery ensure knowledge gradation work new technology solution current meet quality standard client requirement gather specification deliver solution cl
527744631,Associate Consultant Trainee,2017-04-07T17:00:36Z,0,skillset sap understand client requirement propose solution pertain respective domain area train others prepare deliver presentation knowledge share amongst different team project analyze assign pc ci production support continuous improvement incident propose solution fix coordinate technical team pending ricefs interact client functional team gain understand r
527744737,Network Integration Engineer,2017-04-07T17:00:38Z,0,skillset network security software network administration nokia global leader technology connect people thing state art software hardware service type network nokia uniquely position help communication service provider government large enterprise deliver promise cloud internet thing serve customer country research scientist engineer continue invent
527744730,Client Tech Supt Associate - Technical Support,2017-04-07T17:00:39Z,0,skillset network troubleshoot installation technical support database responsible provide telephone diagnostic technical support desktop portable peripheral e g printer projector etc software custom shelf software industry proprietary answer question installation operation configuration customization usage assign product responsible follow define policy procedure e g verify warranty entitlement etc
527744762,Deputy Manager - HR Payroll,2017-04-07T17:00:39Z,0,skillset management audit manage payroll vil vssi employee payroll management vil vssi monitor end end exit process vil vssi monitor track employee query eic payroll exit along escalation monitor support payroll tracker dashboard score card dart report vil vssi publish hrops dashboard score card dart report steerco vssi validate payroll input consolidation control log vil vssi innovate new
527744781,"Senior Analyst - Client Relations, Provider Services",2017-04-07T17:00:40Z,0,skillset multiple report analytics crm sale u isg information service group nasdaq iii lead global technology research advisory firm trust business partner client include top enterprise world isg commit help corporation public sector organization service technology provider achieve operational excellence fast growth firm specialize digital transformation service include
527744799,Core MS NPO Engineer,2017-04-07T17:00:40Z,0,skillset sip mpls capacity plan network protocol network nokia global leader technology connect people thing state art software hardware service type network nokia uniquely position help communication service provider government large enterprise deliver promise cloud internet thing serve customer country research scientist engineer continue inven
527744831,Advisor Program Control Specialist,2017-04-07T17:00:41Z,0,skillset basic report database price essential job function develop plan include budget schedule meet contractual project requirement several major portion program ensure compliance internal customer procedure government procurement regulation establish define program plan requirement coordinate perform depth study determine optimum program plan develop financial control procedure system forecast techn
527744834,Developer Job,2017-04-07T17:00:41Z,0,skillset application software sap reliability java script application server requisition id work area software development operation expect travel career status professional employment type regular full time company description market leader enterprise application software sap help company size industry innovate simplification back office boardroom warehouse storefront premise cloud desktop mobile devic
527744823,3G Firmware Senior Engineer,2017-04-07T17:00:41Z,0,skillset c rtos design arm job description year experience bachelor master degree communication electronics computer science good knowledge wireless communication fundamental excellent program design cod skill c use complex data structure firmware design implementation umts wcdma hsdpa hsupa hspa system prove experience implement firmware standard sw fw design embed real time system experience arm low level embe
