id,title,created,description_from_url,description
566842607,Senior Accountant,2017-06-08T10:33:41Z,1,need detail mind senior accountant like work professional self initiative independent team asia base integrate market company senior accountant report ceo south asia responsible manage full account financial operation regional local office south asia region prepare develop analyze key financial information south asia ensure company management make well inform decision ensure future stability growth profitability also establish maintain account policy management information system well provide high quality support service liaise management colleague aspect account analyze performance business advice pre empt problem adapt change circumstance improve value moreover help ad hoc challenge task need education important experience important important talent requirement minimum year relevant experience min year supervisory experience manage team certify accountant experience management account highly desirable work knowledge exposure nav system detail mind strong analytical ability ability establish clear feasible measurable plan schedule work priority limit supervision prove ability lead team effectively experience deal multiple report channel manage various remote office would advantage comfortable matrix report structure organization knowledge statutory coporate tax regulatory compliance must check corporate site know group site sg site currently seek best eligible candidate join team tell u fit apply send resume previously apply need reapply regret shortlist candidate notify jobsdb send application review directly milton exhibit singapore pte ltd career level senior level yr exp year experience qualification degree company industry job function salary negotiable salary negotiable employment type full time permanent benefit five day work weekperformance bonus milton exhibit singapore pte ltd want work vibrant creative innovative environment strategic person manage detail well need open mind fill open space studio milton exhibit global scale omni channel market service provider exhibit event environment experiential market cope south east asia headquarter expansion singapore seek high caliber individual join dynamic team website job employer something suspicious configurable tpl brand ad option bdc01 background color ad option bgi01 background color fff bannercssstyle ad option bgc01 background color rgba generate ad auto txt1 color ad auto txt2 color relate search copyright jobsdb right reserve iframe name display none
566842965,ACCOUNTING ASSISTANT(5 day Working Week),2017-06-08T10:33:53Z,1,establish f b group look suitable candidate fill follow position account assistant location central day work week responsibility account payable process data entry file document ad hoc duty assign requirement minimum high nitec certificate account lcci diploma preferably year work experience retire retrench senior new market entry candidate welcome apply good interpersonal interactive communication skill preferably knowledge microsoft office application knowledge sage accpac erp account system advantage able commence work within short notice period immediately prefer interest candidate request email cv n m word format include follow information current expect salary must date availability reason leave current previous job recent photo must regret shortlist candidate notify jobsdb send application review directly ya kun international pte ltd career level entry level company industry job function salary negotiable month employment type full time permanent benefit five day work week ya kun international pte ltd establish f b group look suitable candidate fill follow position job employer something suspicious configurable tpl brand ad option bdc01 background color ad option bgi01 background color fff bannercssstyle ad option bgc01 background color rgba generate ad auto txt1 color ad auto txt2 color relate search copyright jobsdb right reserve iframe name display none
566843028,"Senior Executive, Internal Audit",2017-06-08T10:33:55Z,1,responsibility execute risk base financial operational compliance audit include develop internal audit scope audit plan perform internal audit procedure identify communicate stakeholder business inefficiency internal control weakness operational issue observe audit recommend appropriate solution prepare internal audit report highlight control gap non compliance group policy procedure assist develop annual risk base audit plan periodic report audit committee perform follow review previous internal audit issue ensure action take address identify internal audit issue assist management ad hoc project require requirement good bachelor degree accountancy finance professional certification e g cpa acca cia prefer minimum year experience internal external audit business process review strong command m office word excel powerpoint essential independent resourceful good inter personal skill team player demonstrate work high level minimal supervision strong english chinese proficiency write oral must view need liaise group business entity china country able travel extensively interest candidate invite submit resume m word format u present expect salary notice period require early date availability recent photograph jobsdb send application review directly engro corporation limit career level middle yr exp year qualification degree industry job function zonal segregation salary salary negotiable employment type full time permanent benefit five day work weekmedical insurance keywords job company relate search copyright jobsdb right reserve iframe name display none
566843175,Temp Accounts Assistant/ Officer,2017-06-08T10:33:57Z,0,min diploma degree accountancy experience require internship experience prefer m office proficiency ea personnel r1104473 ea license 99c4599
566843626,Admin and Accounts Assistant/ Executive,2017-06-08T10:34:05Z,1,responsibility handle incoming call bill hotline email enquiry process payment high level accuracy assist team prepare invoice debit credit note customer assist admin manager handle customer feedback dispute payment ad hoc duty assign requirement gce level minimum one year relevant experience administration payment good m excel m word outlook experience accpac window version account programme advantage good interpersonal communication skill reliable meticulous singaporean explore opportunity please submit cv jobsdb send application review directly stemcord pte ltd yr exp year qualification level industry job function zonal segregation salary salary provide employment type full time job company relate search copyright jobsdb right reserve iframe name display none
566843612,Accounts Assistant,2017-06-08T10:34:06Z,1,hudson techno centre north east job description general account administrative duty data entry ad hoc duty require job requirement minimum n level level equivalent minimum year relevant work experience new graduate welcome apply basic account knowledge account experience prefer good work attitude good communication skill benefit day week variable annual bonus entitlement annual childcare medical leave good work environment interest candidate please click apply submit detail resume jobsdb send application review directly go holding pte ltd career level entry level yr exp year qualification n level industry job function zonal segregation salary salary provide employment type full time benefit five day work weekperformance bonustransportation allowance relate search copyright jobsdb right reserve iframe name display none
566843625,Claims Administrator,2017-06-08T10:34:06Z,0,role assist data process specific account assist answer phone call email enquiry service provider corporate hr employee ensure accurate reimbursement employee service provider timely manner key accountability assist data process specific account assist answer phone call email enquiry service provider corporate hr employee respond enquiry complaint provide support towards resolve problem
566845253,Assistant Accountant,2017-06-08T10:34:55Z,1,locate tuas pick pointsvery urgent role focus ar glour client european mnc consumer electronic manufacture sector look hire assistant accountant strong background account receivables general ledger look someone good attitude learn develop finance professional well someone afraid think box report finance manager key responsibility would include input invoice detail standard templatemanage online bank portal submit payment via cheque telegraphic transfersposting journal entry manage intercompany transactionsgenerate expense report calculation overtime staffdealing outsource payroll vendor payroll reportsquarterly gst reportingthe successful candidate must posse minimum year experience full set account role will work tuaskeen gain exposure payrollstrong communication presentation skillscontact nikki reen apply click button email nikki reen ambition com sg job reference provide recruitment purpose business license number license number 10c5117 ea registration number r1548506 jobsdb send application review directly ambition career level middle yr exp year qualification diploma industry job function zonal segregation salary month employment type full time permanent job company relate search copyright jobsdb right reserve iframe name display none
566845481,Finance Assistant,2017-06-08T10:35:12Z,0,w e look experience energetic individual join dynamic advertise agency finance assistant singapore job scope liaise traffic production account management team ensure project correctly bill timely efficient manner reconcile project cost close require raise sale invoice po credit note require ensure bill credit note procedure adhere finalize purchase detail order delivery prepare
566845596,Risk Manager,2017-06-08T10:35:20Z,1,companyour client well know player engineer industry presence country well know consistent profitability whilst provide best class employee welfare package well great career stability due business need client look season experience risk manager join team jobreporting senior risk manager work team improve exist enterprise risk management erm framework addition manage operation market risk responsible maintain business continuity plan bcp insurance risk integral member team liaise various business process owner stakeholder identify analyse risk indicator manager teamyou expect long term stable career growth high project exposure upon join team skill experience requiredpossess degree accountancy business finance economics engineeringminimum year work experience risk functionprior work experience within energy oil gas power water engineer industry add advantageif ready join excite opportunity please click appropriate link pamela lek ea 94c3609 reg id r1765306 career level middle yr exp n qualification degree industry job function zonal segregation salary month negotiable employment type full time permanent job company relate search copyright jobsdb right reserve iframe name display none
