id,title,created,description_from_url,description
559481069,Management Executive Officer (IT),2017-05-30T11:55:34Z,1,ministry home affair mha aspire world class deliver safe secure home people pursue mission help make singapore safe secure remain always constant true core value honour unity responsibility part team work relate field technology plan policy formulation compliance well relationship management key stakeholder keep abreast late technological development within local global infocommunications technology trend order understand potential security issue well enablers enhance security arise adoption future technology ass exist technology aim address attendant security concern may necessary time formulate new policy well update exist policy light new security situation manage relationship key stakeholder facilitate effective implementation security policy well gather critical industry feedback timely manner requirement degree preferably engineer relate candidate experience may apply singaporean stakeholder engagement relationship management skill good command write speak english interest thing digital eye interpret practical impact technology advantage interest candidate please send u full resume copy education transcript certificate n transcript certificate testimonial relevant support document please indicate position apply email mha gov sg regret inform shortlist candidate notify ministry home affair mha aspire world class deliver safe secure home people pursue mission help make singapore safe secure remain always constant true core value honour unity responsibilitiesyou part team work relate field technology plan policy formulation compliance well relationship management key stakeholder keep abreast late technological development within local global infocommunications technology trend order understand potential security issue well enablers enhance security arise show jobsat ministry home affair singapore day ago singapore day ago singapore day ago similar job singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago similar job singapore hour ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago share job friend email email get email update ministry home affair post new job save company alert cancel alert time send spam sell email address create footer font size color clear border top solid pad text align leave position initial footer div line margin bottom footer div line color font weight bold display inline footer div line span display inline footer line footer line color font weight bold footer country margin auto footer country line margin footer color copyright recruit net copyright recruit net create recruit net account save job review late save job must login
559482060,Local Category Manager - Electronics,2017-05-30T11:56:13Z,1,member commercial plan team responsible drive quarterly yearly commercial plan process monitor business performance base financial metric e commerce kpis traffic conversion rate basket size nmv derive recommendation close possible performance gap country category level create analysis model evaluate impact performance measure commercial point view coordinate team cross country project analysis campaign evaluation competitive price assortment improvement support organization identify evaluate new idea create value customer improve competitive position company requirement order succeed role ideally experience retail ecommerce ecommerce control plus excellent analytical skill proficiency excel powerpoint knowledge vba statistic software plus ability take responsibility self orient enjoy work independently ability prioritize task manage multiple complex project within deadline budget constraint member commercial plan team responsible drive quarterly yearly commercial plan process monitor business performance base financial metric e commerce kpis traffic conversion rate basket size nmv derive recommendation close possible performance gap country category levelcreating analysis model evaluate impact performance measure commercial point viewcoordinating team cross country project analysis campaign evaluation competitive price assortment organization identify evaluate new idea create value customer show jobsat lazada group singapore day ago singapore day ago singapore day ago similar job singapore day ago singapore day ago singapore hour ago singapore day ago singapore day ago similar job singapore hour ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore hour ago share job friend email email get email update lazada group post new job save company alert cancel alert time send spam sell email address create footer font size color clear border top solid pad text align leave position initial footer div line margin bottom footer div line color font weight bold display inline footer div line span display inline footer line footer line color font weight bold footer country margin auto footer country line margin footer color copyright recruit net copyright recruit net create recruit net account save job review late save job must login
559487499,Business Controller,2017-05-30T11:58:53Z,0,supervise direct account plan forecast analysis review monthly financial finance result business metric provide helpful communication analysis singapore management team line business lob prepare operation review package write graphical information support clear concise communication business performance regional management proactively work country gm regional finance director
560022883,"Manager / Assistant Manager, HR Relationship Management",2017-05-31T04:50:00Z,1,job id responsibility partner business unit develop execute resourcing plan plan organize internal external recruitment campaign provide hr solution address business need employee relate matter work closely hr specialist develop roll hr initiative requirement degree least year experience similar role good knowledge employment act company resort world sentosa pte ltd hotel hospitality casino travel service resort world sentosa promise reward career world fun world class hotel interactive multi sensorial museum espa resort world sentosa f b retail outlet well region first hollywood movie theme park provide diverse job offering career advancement opportunity company recommend text highlight font size important color font weight bold recommend text highlight pad top member corner job seeker employer job search tool popular job affiliate site popular job copyright right reserve iframe name position absolute height
560023046,Account Manager,2017-05-31T04:50:02Z,1,job responsibility responsible development growth business retail commercial establishment continuously identify new area product business development growth achieve maximum possible sale growth participate get involve development relevant new product business development growth service new exist client responsible relate collection within company stipulate collection period prepare submit require sale report undertake duty assign management job requirement candidate must process least diploma market equivalent experience mattress industry advantage result orient self drive ability multi task mature responsible high level integrity posse transport add advantage interest candidate invite email detail resume microsoft word format state current expect salary together recent photo matsushita greatwall corporation pte ltd sungei kadut way singapore tel fax regret shortlist candidate notify company matsushita greatwall corporation pte ltd retail merchandise matsushita greatwall corporation pte ltd incorporate owner multiple international lead brand singapore king koil dorma silentnight stylemaster wonderland company large manufacturer distributor premium home product like pocket spring mattress bed linen bed accessory fabric leather sofa furniture late license add portfolio marvel baby looney tune dc super hero company recommend text highlight font size important color font weight bold recommend text highlight pad top member corner job seeker employer job search tool popular job affiliate site popular job copyright right reserve iframe name position absolute height
560023201,5 Days Sales Engineer SemiconductorEast,2017-05-31T04:50:18Z,1,min diploma mechatronic least year semiconductor relate experience work closely business partner support sale operation follow enquiry aggressively pursue sale opportunity visit customer conduct sale presentation demonstration generate quotation able identify plan execute new market development self motivate drive team player will travel time sea posse vehicle interest candidate please apply attach update detail resume m word format doc file follow information current expect salary reason leave date availability company hr focus let professional solution need hr focus specialise link job seeker employer dynamic team commit passionate recruiter vary background work experience work alongside customer diverse industry understand culture need fully facilitate staff search expertise effectively match right profile job seeker fit skill set rise leader staff solution build system operate procedure attitude around provide high level service client wide spectrum industry include government agency mnc well sme contact u today learn meet organisation talent need enhance career success business company recommend text highlight font size important color font weight bold recommend text highlight pad top member corner job seeker employer job search tool popular job affiliate site popular job copyright right reserve iframe name position absolute height
560107461,Manager/Assistant Manager (Pastoral Care),2017-05-31T11:27:48Z,1,manager responsible manage execute key sit event would include work student leader student club industry partner organise dialogue talk student development programme student life aim enrich life student participation sport community service appreciation art culture key responsibility drive enrichment programme develop student area leadership work ready skill manage online learn platform soft skill development implement administer soft skill development workshop initiative student manage key sit event student orientation student club fair day zero chill out manage student club student lead activity oversee coordinate conduct annual student experience survey initiate implement idea develop student enhance student experience generate content publication online communication carry administrative function include procurement collateral budget management develop draft work process policy guideline requirement degree good university least year experience similar position educational community corporate environment strong organizational coordinate capability excellent administrative skill excellent speak write english posse good communication interpersonal skill passionate positive attitude ability think box agile able multi task work independently within tight timeline intiative team player show jobsat singapore institute technology singapore day ago singapore day ago singapore day ago similar job singapore day ago singapore day ago singapore day ago singapore hour ago singapore hour ago singapore day ago singapore day ago singapore day ago singapore day ago similar job singapore day ago singapore hour ago singapore day ago singapore day ago singapore hour ago singapore day ago singapore day ago singapore day ago singapore day ago share job friend email email get email update singapore institute technology post new job save company alert cancel alert time send spam sell email address create footer font size color clear border top solid pad text align leave position initial footer div line margin bottom footer div line color font weight bold display inline footer div line span display inline footer line footer line color font weight bold footer country margin auto footer country line margin footer color copyright recruit net copyright recruit net create recruit net account save job review late save job must login
560107698,Document Unit Management Executive,2017-05-31T11:28:17Z,0,ref gc aviva always look passionate versatile focus individual join u make difference people teamwork central success see employee customer advocate therefore strive create environment ensure people contribute feel appreciate develop competitive skill future free people fear uncertainty insurance saving investment product help
560108170,Sales Associate,2017-05-31T11:28:38Z,1,description company overview thomson reuters lead source intelligent information world business professional combine industry expertise innovative technology deliver critical information lead decision maker financial risk legal tax account intellectual property science medium market power world trust news organization position overview thomson reuters look recruit experience professional lead corporates supply chain business within within financial risk division go market gtm organization asean excite role combine business development strategy general management high level autonomy responsibility accountability revenue performance individual report directly head market development corporates supply chain asia responsible drive asean corporates supply chain business strategy define actionable gtm plan help drive strategy various team matrix environment market development organization play key role set overall direction thomson reuters financial risk division asia market development responsible take market theme translate actionable gtm strategy sale business development drive growth opportunity maintain exist business financial risk division globally key focus risk data news analytics solution treasury finance operational risk supply chain corp development workflow within large corporates role responsibility drive overall corporates supply chain revenue performance asean ensure delivery corporates supply chain business priority local go market strategy identify develop launch growth retention strategy region include lead strategic client engagement gain market insight industry challenge drive think leadership industry membership active input external brand market plan build maintain key relationship customer association consultant region partner head sale account management deliver drive effective revenue generate strategy provide voice customer feedback exist proposition global team suggest collaborate business case partnership connect regularly stakeholder part business convey local need execute global business plan drive internal knowledge corporates supply chain workflow proposition qualification qualification experience require year commercial business development management experience understand large organization workflow asia across one finance treasury commodity one oil energy metal agriculture supply chain experience manage operate matrix organisation include stakeholder engagement influence management proactive extremely execution focus hungry career development advancement b2b sale experience exposure plus understand key corporate workflow relate product customer type ability speak present customer gravitas confidence strategic analytical ie put together business plan exist relationship corporates relate community excellent write verbal communication skill also would consider sale background strategic thomson reuters believe matter passionate work inspire impact business customer team believe win one collaborate reach share goal develop challenge meaningful experience employee country work flexibly across boundary realize innovation help shape industry around world bring ambition make difference bring world opportunity global business rely diversity culture think deliver goal ensure seek talented qualify employee operation around world regardless race color sex gender include pregnancy gender identity expression national origin religion sexual orientation disability age marital status citizen status veteran status protect classification country local law thomson reuters proud equal employment opportunity employer provide drug free workplace intrigue challenge large fascinate world come join u learn offer please visit thomsonreuters com career information thomson reuters find thomsonreuters com job strategy business development family group description company overview thomson reuters lead source intelligent information world business professional combine industry expertise innovative technology deliver critical information lead decision maker financial risk legal tax account intellectual property science medium market power world trust news organization position overview thomson reuters look recruit experience professional lead corporates supply chain business within within financial risk division go market gtm organization asean excite role combine business development show jobsat thomson reuters singapore day ago singapore day ago singapore day ago similar job singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago similar job singapore day ago singapore hour ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago share job friend email email get email update thomson reuters post new job save company alert cancel alert time send spam sell email address create footer font size color clear border top solid pad text align leave position initial footer div line margin bottom footer div line color font weight bold display inline footer div line span display inline footer line footer line color font weight bold footer country margin auto footer country line margin footer color copyright recruit net copyright recruit net create recruit net account save job review late save job must login
560108752,Actuarial Specialist,2017-05-31T11:29:12Z,1,glimpse daily mission provide technical expertise direction support achievement local bancassurance initiative drive bank large direct client relationship review provide input bank business plan strategic plan scorecard drive manage bancassurance function support area specify main purpose job support manage contribute bancassurance project establish appropriate project management principle quality assurance process establish process improve exchange information ongoing basis support local project initiative work regional bancassurance team ensure alignment initiative act communication information hub within department successful qualifier mission minimum year general insurance experience preferably knowledge group health personal line general insurance certification bcp pci cgi health glimpse daily mission provide technical expertise direction support achievement local bancassurance initiative drive bank large direct client relationship review provide input bank business plan strategic plan scorecard drive manage bancassurance function support area specify main purpose job support manage contribute bancassurance project establish appropriate project management principle quality assurance process establish process improve exchange information ongoing basis support local project initiative work show jobsat axa singapore day ago singapore day ago singapore day ago similar job singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore hour ago singapore day ago singapore hour ago singapore day ago similar job singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore day ago singapore hour ago singapore day ago share job friend email email get email update axa post new job save company alert cancel alert time send spam sell email address create footer font size color clear border top solid pad text align leave position initial footer div line margin bottom footer div line color font weight bold display inline footer div line span display inline footer line footer line color font weight bold footer country margin auto footer country line margin footer color copyright recruit net copyright recruit net create recruit net account save job review late save job must login
