id,title,created,description_from_url,description
548422566,Business Development Manager,2017-05-12T10:16:51Z,-1,"Your new company Based on the Gold Coast, our client is an established IT services company who are committed to providing not only a seamless solutions based service, but are dedicated to delivering quality customer focused services and customer satisfaction. By understanding the unique needs of each of their clients, they provide a service that results in productivity, efficiency, and a competitive advantage. Your new role Due to increased growth, a unique opportunity is available for an exper…"
548422707,Sales Consultant,2017-05-12T10:17:00Z,-1,"Your new company A market leader in their industry, this company provide a wide range of digital services to their national client base. Your new role Due to rapid expansion, they now have an opening for an experienced Sales Consultant to join their team. This position will see you responsible for planning and carrying out all sales activities within the allocated market area of Mt Isa. This includes face to face and phone sales, developing and maintaining relationships with small and medium bu…"
548422967,Service Desk Analyst,2017-05-12T10:17:09Z,-1,"Your new company This global organisation specialise in communications as a service and continue to experience sustained growth. This continued growth has created an exciting opportunity for a Service Desk Analyst to join their team to provide first-line technical support to their customer base. Your new role Working within a driven team, you’ll provide first-line support for incident management, request fulfilment and access management whilst maintaining agreed operational services. You will m…"
548467360,PeopleSoft Tester,2017-05-12T11:47:47Z,-1,"Your new company Our client a highly reputable and desirable Government department as an immediate requirement for an experience PeopleSoft tester on a large upgrade project. Your new role You will be conducting the manual testing on the upgrade of PeopleSoft HCM and ELM to version 9.2. This will involve unit, functional and UAT testing, and may also involve some automation testing. You will be liaising with project staff as well as the vendor working within a small testing team. What you'll ne…"
548623303,Senior Software Engineer,2017-05-12T15:56:05Z,0,"Senior Software Developer Location: Brisbane, Australia Our Company Adaptive Insights is a fast-paced and exciting software development company based in Silicon Valley, California with offices in Brisbane and Perth, Australia. We are currently seeking an energetic individual wishing to contribute to and share in the success of an innovative company with unlimited potential. The new hire will help in the building of a Business Intelligence application using the latest web technologies that will …"
548652025,Transition Manager - SAP Identity and Access Management,2017-05-12T16:26:10Z,-1,CBD fringe location 4 month contract Immediate start My client is seeking a Transition Manager to oversee and ensure the successful handover of the SAP Access controls module implementation from the System Implementer to the existing Support Provider. This role is part of the SAP Identity & Access Project (SIAP). The objective of the project is to deliver improved security and access controls capability and tools to through its various work packages. Core deliverables: Create a Transition Servi…
548659326,Automation Software Tester | 6-12 month contract,2017-05-12T16:34:59Z,-1,"Description : The Company Our client is seeking an experienced automation Software Tester to join the team for a long term contract. You will be working amongst a team of innovative and enthusiastic technology professionals who are working on exciting new projects at the forefront of technology. The Role Your responsibilities as the successful automation Software Tester will include (But not limited to): Preparing Test Plans, Test Scripts and Test Results Preparing Test Cases and conducting ris…"
548659648,Desktop Support | Melbourne CBD,2017-05-12T16:35:15Z,-1,"Description : The Company This well-established organisation has been achieving continued growth year on year. They pride themselves on providing innovative solutions through their passionate people in this increasingly competitive industry. The Role This role, reporting directly to the IT Manager, will provide professional, customer focused, technical support to their large internal user base and to aid an office relocation project. You will be passionate about providing exemplary customer ser…"
548688290,"Lead Android Developer/ Engineer Award Winning AUS Travel Co, Agile Team, CBD",2017-05-12T17:24:05Z,-1,"Lead Android Developer/ Engineer - Award Winning AUS Travel Co, Agile Team, CBD, Use Bleeding Edge Tech, Develop the Full Mobile Life-cycle. 9-5 hrs Would you flourish working for an organisation who are growing at an unmatched rate; building the future of mobile applications with the latest technology? Would you thrive in an exciting and unique senior development role, working alongside team of mobile developers who have been selected for their skills and experience? Who they are As an organis…"
548688289,"Java Developer /BA, Award Winning AUS FMCG Java  Excel Huge Projects  Budget",2017-05-12T17:24:05Z,-1,"Java Developer  Business Analysis - Dual Role. Award Winning Aussie FMCG, Java, Excel, HTML5 and CSS3, Huge Projects  Budget, Agile Team, CBD, 9 - 5 Would you flourish working in a dual role, encompassing J ava Full Stack Development and Business Analysis ; working for a large national organisation who have achieved unmatched success over the past 20 years? Are you seeking a role which will allow you to work in a fast paced, collaborative environment, alongside a highly successful agile develop…"
