id,title,created,description_from_url,description
568917843,Finance/Accounting Supervisor Job,2017-06-11T08:28:13Z,1,"Blue Pacific Drywall Ltd.
SpiderID: 6453405


Location: Surrey, British Columbia
Date Posted: 6/10/2017


Wage: $57000
Category: Accounting/Bookkeeping


Job Code: 1212



Number Of Openings: 2




Job Description:Blue Pacific Dryawall Ltd. construction company is a leader in Drywall, Steel Stud T Bar, Insulation and Texture services at Residential, Commercial, Hotel and Industrial projects in BC.•	producing accurate financial reports to specific deadlines	•	put into use efficient working processes and co-ordinate, 	•	assign and review the work of clerks engaged in administering accounts payable and receivable; 	•	processing, verifying and recording financial documents and forms; administering payrolls; 	•	examine and confirm accuracy of work	•	authorize payments, credits, deposits and withdrawals	•	create work schedules and procedures	•	co-ordinate activities with other work units or departments	•	resolve work-related problems	•	providing and interpreting financial information	•	monitoring and interpreting cash flows and predicting future trends	•	analysing change and advising accordingly	•	researching and reporting on factors influencing business performance	•	analysing competitors and market trends	•	developing financial management mechanisms that minimise financial risk	•	conducting reviews and evaluations for cost-reduction opportunities	•	managing a company's financial accounting, monitoring and reporting systems	•	liaising with auditors to ensure annual monitoring is carried out	•	developing external relationships with appropriate contacts, e.g. auditors, solicitors, bankers and statutory organisations such as the Inland Revenue	•	managing budgets	•	arranging new sources of finance for a company's debt facilities	•	supervising staff	•	keeping abreast of changes in financial regulations and legislation.	•	prepare and submit progress and other reports	•	ensure smooth operation of computer systems and equipment and arrange for maintenance and repair work	•	perform the same duties as supervised workers


Job Requirements:Completion of a college program or courses in bookkeeping, accounting or a related subject; or on job training is required.SkillsClerical Ability	Numerical AbilityDetail-Oriented	

Job Criteria:
Start Date: As soon as possible
		Position Type: Full-Time Permanent
		Years of Experience Required: 3
		Education Required: Other
		Overnight Travel: None		
		Vacation Time: Less Than 2 weeks / year
		

Company Profile:
Blue Pacific Dryawall Ltd. construction company is a leader in Drywall, Steel Stud T Bar, Insulation and Texture services at Residential, Commercial, Hotel and Industrial projects in BC.

Contact Information:


Contact Name: Joe N
Company Type: Employer


Company: Blue Pacific Drywall Ltd.







City: Surrey



State: British Columbia



Zip: V3W9N2




















    



























 © 2017 Job Spider
 |  |  | 













"
568918122,Bookkeeper Job,2017-06-11T08:28:25Z,1,"Frontline Rebar Landscaping Ltd
SpiderID: 6453354


Location: Surrey, British Columbia
Date Posted: 6/10/2017


Wage: 
Category: Accounting/Bookkeeping


Job Code: 



Number Of Openings: 1




Job Description:Frontline Rebar Landscaping Ltd. located at 5930-124A St, Surrey, BC, v3x1x3 is hiring full time Bookkeeper.Duties: Keep financial records and balance various accounts. Post journal entries and reconcile accounts. Maintain general ledgers and prepare financial statements and Tax returns. Prepare cheques for payroll and business related departments. Complete and submit PD7A and WCB forms. Maintain A/P and A/R accounts etc.Job is full time and permanent. Wages 22.80/hr. Edu-High school. Experience- 2+ yrs. Bookkeeping/accounting clerk OR Completion of college program in related field. Language-English assets. Please e-mail your resume at frontline.rebarlandscapingltd@yahoo.ca or mail at above address. 

Job Criteria:
Start Date: asap
		Position Type: Full-Time Permanent
		Years of Experience Required: 2
		Education Required: High School
		Overnight Travel: 		
		Vacation Time: 
		

Contact Information:


Contact Name: Gurdial singh
Company Type: Employer


Company: 







City: surrey



State: British Columbia



Zip: 




















    



























 © 2017 Job Spider
 |  |  | 













"
568918327,Administrative Assistant Job,2017-06-11T08:28:42Z,1,"Titan Industries Ltd
SpiderID: 6453345


Location: Surrey, British Columbia
Date Posted: 6/10/2017


Wage: 
Category: Accounting/Bookkeeping


Job Code: 



Number Of Openings: 1




Job Description:Titan Industries Ltd located at Unit B, 10944 – 124Street, Surrey, BC V3V4T9 urgently required an Administrative Assistant (01). Duties: Prepare and correct invoices, brochures, publications, reports and office related material. Control and establish office procedures. Schedule and confirm appointments and meetings with business related offices and clients. Order office supplies and maintain inventory. Answer and convey telephone calls, messages, and other enquiries. Greet customers to build up good public relationship for better business. Create and maintain manual and computerized information filing systems. May collect data, statistics and other information to support research business related activities. May supervise and train office staff. Make report to senior management etc.Job is full time and permanent. Wages 22.80/hr plus 4% vacation pay. Edu-High school, but degree as an assets Experience- 1+ yrs relevant experience. Language-English but Punjabi as an asset.Plz e-mail resume at: titanindustriesltd@hotmail.com OR mail resume.

Job Criteria:
Start Date: asap
		Position Type: Full-Time Permanent
		Years of Experience Required: 
		Education Required: High School
		Overnight Travel: 		
		Vacation Time: 
		

Contact Information:


Contact Name: Gurinderjit Sangha
Company Type: Employer


Company: 







City: Surrey



State: British Columbia



Zip: 




















    



























 © 2017 Job Spider
 |  |  | 













"
568918332,Office Administrator Job,2017-06-11T08:28:49Z,1,"SUNLOVER HOLDING CO LTD located #205, 12788-76A Ave, Surrey, BC, V3W1S9 urgently required an Office Administrator. Duties: Manage & supervise overall administrative work, oversee and co-ordinate administrative procedures and review, evaluate and implement new administrative procedures, build up good public relationship for better business, To make business schedules and meetings, Make work schedule for staff and ensure deadlines are met and procedures followed, Review and evaluate employee performance, Prepare daily reports for senior management. Create and maintain an effective filling & database system for all administrative and financial documents etc. Wages rate is $22.00/hr. Job is full time and permanent. Experience- supervisory/related experience as an assets. Education-high School, but Diploma/degree assets. Language- Functional English. E-mail resume at: sunloverholding@yahoo.ca OR mail at above address. 

Job Criteria:
Start Date: asap
		Position Type: Full-Time Permanent
		Years of Experience Required: 
		Education Required: High School
		Overnight Travel: 		
		Vacation Time: 
		

Contact Information:


Contact Name: Gurpreet Shoker
Company Type: Employer


Company: 







City: Surrey



State: British Columbia



Zip: 




















    



























 © 2017 Job Spider
 |  |  | 













"
568918334,Bookkeeper Job,2017-06-11T08:28:59Z,1,"SUNLOVER HOLDING CO Ltd business office at #201, 8381-128 St, Surrey, BC, V3W4G1 is hiring 02 Bookkeeper. Duties: Keep financial records and balance various accounts, Post journal entries and reconcile accounts, Maintain general ledgers and prepare financial statements and Tax returns, Prepare cheques for payroll and business related departments, Complete and submit PD7A and WCB forms, Maintain A/P and A/R accounts etc. Job is full time and permanent. Wages 21.00/hr. Edu-High school. Experience- 2+ yrs Bookkeeping/accounting clerk OR Completion of college program in related field. Language-English assets. Plz e-mail resume at: sunloverholding@yahoo.ca OR mail at above address. 

Job Criteria:
Start Date: asap
		Position Type: Full-Time Permanent
		Years of Experience Required: 2
		Education Required: High School
		Overnight Travel: 		
		Vacation Time: 
		

Contact Information:


Contact Name: Gurpreet Shoker
Company Type: Employer


Company: 







City: Surrey



State: British Columbia



Zip: 




















    



























 © 2017 Job Spider
 |  |  | 













"
568918335,Bookkeeper Job,2017-06-11T08:28:59Z,1,"Titan Industries Ltd
SpiderID: 6453341


Location: Surrey, British Columbia
Date Posted: 6/10/2017


Wage: 
Category: Accounting/Bookkeeping


Job Code: 



Number Of Openings: 1




Job Description:Titan Industries Ltd at Unit B, 10944 – 124Street, Surrey, BC V3V4T9. Req’d F/T p’nent Bookkeeper.Duties: Keep financial records and balance various accounts, Post journal entries and reconcile accounts, Maintain general ledgers and prepare financial statements and Tax returns, Prepare cheques for payroll and business related departments, Complete and submit PD7A and WCB forms, Maintain A/P and A/R accounts etc. Wages 22.80/hr. Edu-High school. Experience- 2+ yrs Bookkeeping/accounting clerck OR Completion of college program in related field. Language-English but Punjabi as an assets.Plz e-mail resume at: titanindustriesltd@hotmail.com OR mail resume. 

Job Criteria:
Start Date: asap
		Position Type: Full-Time Permanent
		Years of Experience Required: 2
		Education Required: High School
		Overnight Travel: 		
		Vacation Time: 
		

Contact Information:


Contact Name: Gurinderjit Sangha
Company Type: Employer


Company: 







City: Surrey



State: British Columbia



Zip: 




















    



























 © 2017 Job Spider
 |  |  | 













"
568918339,Bookkeeper Job,2017-06-11T08:29:32Z,1,"Kal Inspection & Truck Repair Ltd
SpiderID: 6453334


Location: Surrey, British Columbia
Date Posted: 6/10/2017


Wage: 
Category: Accounting/Bookkeeping


Job Code: 



Number Of Openings: 2




Job Description:Kal Inspection & Truck Repair Ltd, 12140 Old Yale Rd, Surrey, BC V3V3X5 urgently Required 02 Bookkeeper.Duties: Keep financial records and balance various accounts, Post journal entries and reconcile accounts, Maintain general ledgers and prepare financial statements and Tax returns, Prepare cheques for payroll and business related departments, Complete and submit PD7A and WCB forms, Maintain A/P and A/R accounts etc.Job is full time and permanent. Wages 22.80/hr. Edu-High school. Experience- 2+ yrs Bookkeeping/accounting clerck OR Completion of college program in related field. Language-English but Punjabi as an assets.Plz e-mail resume at: jobs.kalinspection@yahoo.ca OR mail resume. 

Job Criteria:
Start Date: asap
		Position Type: Full-Time Permanent
		Years of Experience Required: 2
		Education Required: High School
		Overnight Travel: 		
		Vacation Time: 
		

Contact Information:


Contact Name: Satnam Lally
Company Type: Employer


Company: 







City: Surrey



State: British Columbia



Zip: 




















    



























 © 2017 Job Spider
 |  |  | 













"
568920366,Office Administrator Job,2017-06-11T08:59:55Z,1,"Kal Inspection & Truck Repair Ltd
SpiderID: 6453331


Location: surrey, British Columbia
Date Posted: 6/10/2017


Wage: 
Category: Accounting/Bookkeeping


Job Code: 



Number Of Openings: 1




Job Description:Kal Inspection & Truck Repair Ltd, 12140 Old Yale Rd, Surrey, BC V3V3X5 urgently required an Office Administrator (01). Duties: Manage & supervise overall administrative work, oversee and co-ordinate administrative procedures and review, evaluate and implement new administrative procedures, build up good public relationship for better business, To make business schedules and meetings, Make work schedule for staff and ensure deadlines are met and procedures followed, Review and evaluate employee performance, Prepare daily reports for senior management. Create and maintain an effective filling & database system for all administrative and financial documents etc.Job is full time and permanent. Wages rate is $23.00/hr. Experience- supervisory/related experience as assets. Education-High School, but Diploma/degree as assets. Language- Functional English. Plz e-mail resumes at: -jobs.kalinspection@yahoo.ca OR mail resume. 

Job Criteria:
Start Date: asap
		Position Type: Full-Time Permanent
		Years of Experience Required: 0
		Education Required: High School
		Overnight Travel: 		
		Vacation Time: 
		

Contact Information:


Contact Name: Satnam Lally
Company Type: Employer


Company: 







City: Surrey



State: British Columbia



Zip: 




















    



























 © 2017 Job Spider
 |  |  | 













"
568920384,Administrative Assistant Job,2017-06-11T08:59:56Z,1,"Kal Inspection & Truck Repair Ltd
SpiderID: 6453329


Location: Surrey, British Columbia
Date Posted: 6/10/2017


Wage: 
Category: Accounting/Bookkeeping


Job Code: 



Number Of Openings: 1




Job Description:Kal Inspection & Truck Repair Ltd, 12140 Old Yale Rd, Surrey, BC V3V3X5 urgently required an Administrative Assistant (01). Duties: Prepare and correct invoices, brochures, publications, reports and office related material. Control and establish office procedures. Schedule and confirm appointments and meetings with business related offices and clients. Order office supplies and maintain inventory. Answer and convey telephone calls, messages and other enquiries. Greet customers to build up good public relationship for better business. Create and maintain manual and computerized information filing systems. May collect data, statistics and other information to support research business related activities. May supervise and train office staff. Make report to senior managemnt etc.Job is full time and permanent. Wages 22.80/hr. Edu-High school, but degree as an assets Experience- 1+ yrs relevant experience. Language-English but Punjabi as an asset.Plz e-mail resume at: jobs.kalinspection@yahoo.ca OR mail resume. 

Job Criteria:
Start Date: asap
		Position Type: Full-Time Permanent
		Years of Experience Required: 1
		Education Required: High School
		Overnight Travel: 		
		Vacation Time: 
		

Contact Information:


Contact Name: Satnam Lally
Company Type: Employer


Company: 







City: Surrey



State: British Columbia



Zip: 




















    



























 © 2017 Job Spider
 |  |  | 













"
569081727,Workplace Strategy & Innovation Champion,2017-06-11T21:50:05Z,0,"Company Overview Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward. Stay current and competitive. Carve out a career for yourself. Grow with us. Here's our story: jobs.td.com Department Overview Enterprise Real Estate (ERE) provides a variety of services to support all business units across …"
