id,title,created,description_from_url,description
530717107,Cashier - Restaurant,2017-04-12T09:23:17Z,0,"SkillSet: Accounting, Cashier. Take customer orders at the counter Receive payments and present change to customers Make reservations for customers Receive food checks from waiters or customers Appeal to impatient or irritated customers, especially during rush hours Manage the register, including all credit card and cash operations Ensure a balance of the register at the end of the shift or working period Keep track of inventory and ensure that restaurant supplies are ordered on time Count Cash…"
530717104,Accounts Executive,2017-04-12T09:23:17Z,0,"SkillSet: Prepares asset, liability, , capital account entries by compiling, analyzing account information Prepares asset, liability, and capital account entries by compiling and analyzing account information. Documents financial transactions by entering account information. Recommends financial actions by analyzing accounting options. Summarizes current financial status by collecting information; preparing balance sheet, profit and loss statement, and other reports. Substantiates financial tra…"
530717165,Article Assistants,2017-04-12T09:23:18Z,0,"SkillSet: Audit Firm, Development of Attitude. ASSOCIATES is an InternationalAudit Firm with Branches abroad and India. We have opening at present for Articled Assistants to our Cochin Branch. We offer a conductive environment for Development of Attitude, Theoretical and Practical Knowledge of the students and offers exposure to Best in class Industry Traits, Standards and Practices."
530717180,Finance Manager,2017-04-12T09:23:19Z,0,"SkillSet: financial instruments, Overseeing the flow of cash. Overseeing the flow of cash and financial instruments Planning and directing the activities of workers in branches or departments Preparing reports as required by law, regulations or company policies Ensuring compliance with applicable laws and procedures"
530717178,Senior Manager,2017-04-12T09:23:20Z,0,"SkillSet: Excellent Analytical, Communication, Presentation skills. Preparation of ALCO pack and other inputs for discussion in ALCO Meeting - Monitoring and reporting of various parameters [Liquidity & Interest Rate risks] to ALCO. - Recording and dissemination of ALCO decisions/minutes. - Computing of FTP Rates, Base Rate, MCLR, etc in line with Board Approved policies."
530717163,Treasury Manager - FX and Derivative,2017-04-12T09:23:20Z,0,"SkillSet: Finance, Accounting, Chartered, Accountant, Forwards. Should have 4-7 yrs of relevant experience in handling Retail branch network - MBA from a premier institute or a Chartered Accountant. - Knowledge of financial sector at large with strong knowledge of Trade-Forex will be preferred. - Knowledge of RBI regulations around Forex would be an added advantage. - Should have Sales background."
530717190,Accountant,2017-04-12T09:23:20Z,0,"SkillSet: Accountant, finance. Reconciles general and subsidiary bank accounts by gathering and balancing information. Provides financial status information by preparing special reports; completing special projects. Corrects errors by posting adjusting journal entries. Maintains general ledger accounts by reconciling accounts receivable detail and control accounts; adjusting entries for amortizations prepaids; analyzing and reconciling retainage and accounts payable ledgers; preparing fixed ass…"
530717202,Accountant,2017-04-12T09:23:21Z,0,"SkillSet: Indian Equities, collate data. Need to update, maintain and process data on Indian Equities from the Internet The candidate need to collate data from public domain, analyze and summarize data on Indian Companies financial and non-financial statements, compliance report filings of historical and current financial statements, and inputting the data in a structured format on a timely manner Working on balance sheets and profit and loss statements. Education"
530717208,Opening For Commercial Officer,2017-04-12T09:23:22Z,0,"SkillSet: Accounts Executive, Accountant. ob description:- 1.To visit all customer places within Region regarding payment follow-up and collections. 2. Collecting payment advice from customer and reconciliations of the same"
530717235,Treasury Manager - FX and Derivatives,2017-04-12T09:23:23Z,0,"SkillSet: Finance, Accounting, Chartered Accountant, Forwards, Options. Should have 4-7 yrs of relevant experience in handling Retail branch network - MBA from a premier institute or a Chartered Accountant. - Knowledge of financial sector at large with strong knowledge of Trade-Forex will be preferred. - Knowledge of RBI regulations around Forex would be an added advantage. - Should have Sales background. - Good communication skills and flair for Currency Research"
530717233,Senior Investment Associate,2017-04-12T09:23:23Z,0,"SkillSet: Finance, Investment Banking, Valuation Due, Diligence, Market Research. Analyst Level Coverage: Should undertake industry and market research activities on Food, Agri & Logistics sectors using multiple sources of information; Partner Level Coverage: Support partners in identifying investment opportunities, provide in-depth research and actively engage in initiating meetings with portfolio companies Must work with senior management in building companies pipeline, deal sourcing, client …"
530717245,Accounts Executive,2017-04-12T09:23:24Z,0,"SkillSet: Finance, Accounts, Tax, Accountant, Tally. Designation : Accountant / Accounts Executive Department : Accounts & Finance Industry : Media / Entertainment Desired Candidate Profile : Qualification : B.Com / M.Com Experience : 2 Years - 4 Years Salary : Best in the industry Location : Chennai Gender : Only Male Required Skills:: Must have good experience in general Accounting, banking activities, accounts finalisation, tally, VAT, CST, Service Tax, Income Tax Must have experience in BRS…"
530717255,Accounts Executive,2017-04-12T09:23:24Z,0,"SkillSet: Keeping a record of all purchases & making entries for the same Candidate will be responsible for handling tally software. 2. Responsible for handling incoming & outgoing invoices. 3. Keeping a record of all purchases & making entries for the same. 4. Assisting accountant on all accounting jobs. Experience: Must posses knowledge of Tally software. Candidate with hands on, on Tally would be preferred. Experience of 0-6 months on similar profile would be an add on. Education & Skills: G…"
