id,title,created,description_from_url,description
559481069,Management Executive Officer (IT),2017-05-30T11:55:34Z,1,"The Ministry of Home Affairs (MHA) aspires to be world-class in delivering a safe and secure home for our people. In pursuing our mission to help make Singapore safe and secure, we remain always constant and true to our core values of Honour and Unity.   Responsibilities You will be part of a team working in the related fields of technology planning, policy formulation and compliances as well as relationship management of key stakeholders.  Keep abreast of the latest technological developments within the local and global infocommunications and technology trends in order to understand potential security issues as well as enablers for enhancing security arising from the adoption of future technologies. Assess existing technologies with the aim of addressing any attendant security concerns. It may be necessary at times to formulate new policies as well as update existing policies in light of new security situations. Manage relationships with key stakeholders to facilitates effective implementation of security policies as well as gather critical industry feedback in a timely manner.  Requirements  Degree, preferably IT or Engineering-related. Candidates with no experience may apply Only Singaporeans Stakeholder engagement and relationship management skills Good command of written and spoken English Interest in all things digital with an eye for interpreting the practical impact of technology will be an advantage  Interested candidates, please send us your full resume and copies of your education transcripts/certificates, NS transcript/certificate (if any), testimonials and other relevant supporting documents. Please indicate the position that you are applying for and email to mha_recruit@mha.gov.sg We regret to inform that only shortlisted candidates will be notified.     The Ministry of Home Affairs (MHA) aspires to be world-class in delivering a safe and secure home for our people. In pursuing our mission to help make Singapore safe and secure, we remain always constant and true to our core values of Honour and Unity.  ResponsibilitiesYou will be part of a team working in the related fields of technology planning, policy formulation and compliances as well as relationship management of key stakeholders.Keep abreast of the latest technological developments within the local and global infocommunications and technology trends in order to understand potential security issues as well as enablers for enhancing security arising...      Show More           More Jobsat Ministry of Home Affairs            Singapore  22 days ago            Singapore  20 days ago            Singapore  20 days ago       Similar jobs              Singapore  24 days ago               Singapore  15 days ago               Singapore  2 days ago                 Singapore  1 day ago               Singapore  1 day ago               Singapore  12 days ago                 Singapore  2 days ago               Singapore  1 day ago               Singapore  23 days ago             Similar jobs             Singapore  2 hours ago               Singapore  28 days ago               Singapore  23 days ago               Singapore  3 days ago               Singapore  6 days ago               Singapore  14 days ago               Singapore  1 day ago               Singapore  2 days ago               Singapore  11 days ago     Share this job          Friend's email:  Your email:                            Get email updates when Ministry of Home Affairs posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
559482060,Local Category Manager - Electronics,2017-05-30T11:56:13Z,1,"As a member of the Commercial Planning team, you will be responsible for :  Driving the quarterly and yearly commercial planning process  Monitoring the business performance based on financial metrics and e-commerce KPIs such as traffic, conversion rate, basket size and NMV and derive recommendations to close possible performance gaps at country and category level Creating analyses and models to evaluate the impact of performance measures from a commercial point of view Coordinating the team on cross-country projects and analyses such as campaign evaluation or competitive pricing and assortment improvements Supporting the organization in identifying and evaluating new ideas to create value for our customers and improving the competitive positioning of the company  Requirements:  In order to succeed in the role, you should ideally have:  Experience in retail or ecommerce, ecommerce controlling is a plus Excellent analytical skills Proficiency in Excel and PowerPoint; knowledge of VBA and statistics software is a plus Ability to take on responsibility: you are self­oriented and enjoy working independently The ability to prioritize tasks and manage multiple and complex projects within deadlines and budget constraints        As a member of the Commercial Planning team, you will be responsible for :Driving the quarterly and yearly commercial planning process Monitoring the business performance based on financial metrics and e-commerce KPIs such as traffic, conversion rate, basket size and NMV and derive recommendations to close possible performance gaps at country and category levelCreating analyses and models to evaluate the impact of performance measures from a commercial point of viewCoordinating the team on cross-country projects and analyses such as campaign evaluation or competitive pricing and assortment improvementsSupporting the organization in identifying and evaluating new ideas to create value for our customers and...      Show More           More Jobsat Lazada Group            Singapore  25 days ago            Singapore  22 days ago            Singapore  22 days ago       Similar jobs              Singapore  11 days ago               Singapore  2 days ago               Singapore  23 hours ago                 Singapore  1 day ago               Singapore  1 day ago             Similar jobs             Singapore  1 hour ago               Singapore  2 days ago               Singapore  16 days ago               Singapore  17 days ago               Singapore  3 days ago               Singapore  23 days ago               Singapore  11 days ago               Singapore  1 day ago               Singapore  23 hours ago     Share this job          Friend's email:  Your email:                            Get email updates when Lazada Group posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
559487499,Business Controller,2017-05-30T11:58:53Z,0,"﻿ · Supervise and direct all accounting, planning and forecasting analyses · Review monthly financial finance results and business metrics and provide helpful communication and analyses to the Singapore Management Team and Line-of-Business (LOB). · Prepare Operations Review Package and any other written or graphical information that will support the clear and concise communication on business performance to Regional Management. · Proactively work with Country GM and Regional Finance Director to…"
560022883,"Manager / Assistant Manager, HR Relationship Management",2017-05-31T04:50:00Z,1,"Job ID: 5104985 Responsibilities
Partner the business units to develop & execute resourcing plans
Planning and organizing both internal and external recruitment campaigns
Provide HR Solutions to address business needs & employee related matters
Work closely with HR Specialists to develop and roll-out HR initiatives 
Requirements
Degree with at least 6 years’ experience in similar role
Good knowledge of Employment Act
 


 |        | 






 About This Company 

RESORTS WORLD AT SENTOSA PTE LTD
Hotel / Hospitality / Casino / Travel Services        




Resorts World® Sentosa promises you a rewarding career that will be a world of fun. With 6 world-class hotels, an interactive and multi-sensorial museum, ESPA at Resorts World Sentosa, over 100 F&B and retail outlets as well as the region’s first Hollywood movie theme park, we provide diverse job offerings and career advancement opportunities.



 

 More From Company 


 


 


 


 


 















    .recommend-text-highlight {
        font-size: 1.2em !important;
        color: #333;
        font-weight: bold;
    }
    .recommend-text-highlight i { padding-top: 4px;}




















 




 Members Corner 
 Job Seekers


 Employers




 Job Search Tools 








 Popular Jobs 











 











 Affiliated Sites 






 Popular Jobs 




























|

|

|

|

|

|

|

|

|


 



© Copyright  2017. All rights reserved. 


















    iframe[name=google_conversion_frame] { position: absolute; height: 0px; }

















"
560023046,Account Manager,2017-05-31T04:50:02Z,1,"Job Responsibilities
To be responsible for the development and growth of business in the retail and other commercial establishment.
Continuously identify new areas and/or products for business development and growth
To achieve maximum possible sales and growth
To participate or get involved in the development of relevant new products for business development and growth
To service new and existing clients
To be responsible for all related collection within the company’s stipulated collection period
To prepare and submit all required sales report
To undertake any other duties assigned by the management
Job Requirements
Candidate must process at least a Diploma in Marketing and above or equivalent.
Experience in Mattress industry is an advantage
Result-oriented and self-driven
Ability to multi-task, mature, responsible, with high level of integrity
Possess own transport is an added advantage
Interested candidates are invited to email your detailed resume in Microsoft Words format stating both current and expected salary together with a recent photo to:
Matsushita Greatwall Corporation Pte Ltd
No 13 Sungei Kadut Way,
Singapore 728792
Tel: 63610719   Fax: 63659091
We regret that only shortlisted candidates will be notified. 


 |        | 






 About This Company 

MATSUSHITA GREATWALL CORPORATION PTE LTD
Retail / Merchandising        




Matsushita Greatwall Corporation Pte Ltd was incorporated in 1968, the owner of multiple International leading brands in Singapore such as King Koil, Dorma, Silentnight, Stylemaster and Wonderland.
The Company is the largest manufacturer and distributor of Premium Home products like Pocketed Spring Mattress, Bed Linens and Bedding accessories, Fabric and Leather Sofa and Furniture.
Latest Licensing added to the portfolio are Marvel, Baby Looney tune and DC Super Hero.



 

 More From Company 


 














    .recommend-text-highlight {
        font-size: 1.2em !important;
        color: #333;
        font-weight: bold;
    }
    .recommend-text-highlight i { padding-top: 4px;}




















 




 Members Corner 
 Job Seekers


 Employers




 Job Search Tools 








 Popular Jobs 











 











 Affiliated Sites 






 Popular Jobs 




























|

|

|

|

|

|

|

|

|


 



© Copyright  2017. All rights reserved. 


















    iframe[name=google_conversion_frame] { position: absolute; height: 0px; }

















"
560023201,5 Days Sales Engineer SemiconductorEast,2017-05-31T04:50:18Z,1,"Min. Diploma in Mechatronic
At least 2 years in semiconductor or related experience
Work closely with the Business Partners and support sales operations
Follow up on enquiries and aggressively pursue sales opportunities
Visit customers and Conduct sales presentation and demonstration
Generate quotations
Able to identify, plan and execute new market development
Self-motivated and driven team player
Willing to travel, 50% of the time in SEA
Possess own vehicle
 
 
---------------------------------------------------------------------------
Interested candidates please apply & attach updated detail resume in MS WORD FORMAT (.doc file)with the following information: 
1. Current and Expected salary
2. Reasons for leaving
3. Date of availability
--------------------------------------------------------- 


 |        | 






 About This Company 

HR Focus








Let our professional be the solution to your needs. 
HR Focus specialise in being the link between job seekers and employers.
We have a dynamic team of committed and passionate recruiters with varied background and working experience working alongside with our customers of diverse industries, understand their culture and needs, to fully facilitate staff search expertise to effectively match the right profile of the job seeker to fit in the skill set.
Being the rising leader in staffing solutions, we have built our systems, operating procedures and our attitude around providing the highest level of services to our client from a wide spectrum of industries include government agencies, MNC as well as SME.
Contact us today and learn more about how we can meet your organisation's talent needs or enhance your own career.
Your success is our business !       

========================================================================================                                          



 

 More From Company 


 


 


 


 


 















    .recommend-text-highlight {
        font-size: 1.2em !important;
        color: #333;
        font-weight: bold;
    }
    .recommend-text-highlight i { padding-top: 4px;}




















 




 Members Corner 
 Job Seekers


 Employers




 Job Search Tools 








 Popular Jobs 











 











 Affiliated Sites 






 Popular Jobs 




























|

|

|

|

|

|

|

|

|


 



© Copyright  2017. All rights reserved. 


















    iframe[name=google_conversion_frame] { position: absolute; height: 0px; }

















"
560107461,Manager/Assistant Manager (Pastoral Care),2017-05-31T11:27:48Z,1,"The Manager is responsible for managing and executing key SIT events. This would include working with student leaders, student clubs and industry partners in organising dialogues, talks and student development programmes. Student Life aims to enrich the life of students through participation in sports, community service and appreciation of arts and culture.  Key Responsibilities  Drive enrichment programmes to develop students in areas of leadership and work-ready skills Manage online learning platform for soft skills development Implement and administer soft skills development workshops and initiatives for students Manage key SIT events such as Student Orientation, Student Clubs’ Fair, Day Zero and Chill Outs Manage student clubs and student-led activities Oversee and coordinate the conduct of annual student experience survey Initiate and implement ideas to develop students and enhance their student experience Generate content for publications and online communications Carry out administrative functions which include procurement of collaterals and budget management Develop and draft work processes, policies and guidelines  Requirements  Degree from a good University with at least 3 to 5 years experience in a similar position in an educational/community/corporate environment. Strong organizational and coordinating capabilities with excellent administrative skills Excellent spoken and written English Possess good communication and interpersonal skills Passionate, positive attitude with the ability to think “out of the box” Agile and able to multi task and work independently within a tight timeline with intiative; a team player                           Show More           More Jobsat Singapore Institute of Technology            Singapore  1 day ago            Singapore  12 days ago            Singapore  9 days ago       Similar jobs              Singapore  17 days ago               Singapore  26 days ago               Singapore  2 days ago                 Singapore  12 hours ago               Singapore  13 hours ago               Singapore  16 days ago                 Singapore  26 days ago               Singapore  7 days ago               Singapore  10 days ago              Similar jobs             Singapore  22 days ago               Singapore  23 hours ago               Singapore  20 days ago               Singapore  1 day ago               Singapore  21 hours ago               Singapore  7 days ago               Singapore  12 days ago               Singapore  7 days ago               Singapore  16 days ago     Share this job          Friend's email:  Your email:                            Get email updates when Singapore Institute of Technology posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
560107698,Document Unit Management Executive,2017-05-31T11:28:17Z,0,"Ref: 2017/GC/118 At Aviva, we’re always looking for passionate, versatile and focused individuals to join us in making a difference. People and teamwork are central to our success - we see our employees as customers and advocates and therefore strive to create an environment that ensures all of our people can contribute, feel appreciated and develop competitive skills for the future. We’re here to free people from the fear of uncertainty. Our insurance, savings and investment products help some…"
560108170,Sales Associate,2017-05-31T11:28:38Z,1,"Description      Company Overview   Thomson Reuters is the leading source of intelligent information for the world’s businesses and professionals. We combine industry expertise with innovative technology to deliver critical information to leading decision makers in the financial and risk, legal, tax and accounting, intellectual property and science and media markets, powered by the world’s most trusted news organization.    Position Overview    Thomson Reuters is looking to recruit an experienced professional to lead the Corporates & Supply Chain business within the within the Financial & Risk Division’s Go-To-Market (GTM) organization for ASEAN.  This is an exciting role which combines business development, strategy and general management with a high level of autonomy, responsibility and accountability for revenue performance.    The individual will report directly to the Head of Market Development Corporates & Supply Chain Asia and will be responsible for driving ASEAN's Corporates & Supply Chain business strategy, defining actionable GTM plans and helping to drive strategy with various teams in a matrix environment.    The Market Development organization plays a key role in setting the overall direction for the Thomson Reuters Financial & Risk division in Asia.  Market Development is responsible for taking market themes and translating into actionable GTM strategies for sales, business development, driving growth opportunities and maintaining existing business.  Financial & Risk is a $6bn Division globally, of which key focuses are risk, data, news & analytics solutions to treasury/finance, operational risk, supply chain & corp development workflows within large corporates.      Role Responsibilities     Drive the overall Corporates & Supply Chain revenue performance for ASEAN   Ensure delivery of the Corporates & Supply Chain business priorities and local go-to-market strategy   Identify, develop and launch growth & retention strategies in the region including leading strategic client engagements to gain market insights & industry challenges   Drive Thought Leadership, industry memberships and have active input into external branding & marketing plans   Build & maintain key relationships with customers, associations and consultants in region   Partner with the Head of Sales & Account Management to deliver and drive an effective revenue generating strategies   Provide voice of the customer feedback on existing propositions to global teams, suggesting and collaborating on business cases & partnerships   Connect regularly with stakeholders from other parts of the business to convey local needs and execute global business plans   Drive internal knowledge of the Corporates & Supply Chain workflows and our proposition                  Qualifications       Qualifications and Experience Required      5 years+ commercial/business development/management experience   Understanding of large organization workflows in Asia across one or more of finance/treasury, commodities (one or more of oil, energy, metals and agriculture)  and supply chain   Experience managing and operating in a matrix organisation, including stakeholder engagement and influencing management   Proactive and extremely execution focused   Hungry for career development and advancement   B2B sales experience/exposure a plus   Understand the key corporate workflows that relate to our products and customer types   Ability to speak and present to customers (gravitas, confidence)   Strategic and analytical (ie can put together a business plan)   Existing relationship with corporates or related communities   Excellent written and verbal communication skills   Also would consider who have a sales background, but are strategic    At Thomson Reuters, we believe what we do matters. We are passionate about our work, inspired by the impact it has on our business and our customers. As a team, we believe in winning as one – collaborating to reach shared goals, and developing through challenging and meaningful experiences. With over 50,000 employees in more than 100 countries, we work flexibly across boundaries and realize innovations that help shape industries around the world. Bring your ambition to make a difference. We’ll bring a world of opportunities.    As a global business we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under country or local law. Thomson Reuters is proud to be an Equal Employment Opportunity Employer providing a drug-free workplace.  Intrigued by a challenge as large and fascinating as the world itself? Come join us.  To learn more about what we offer, please visit thomsonreuters.com/careers.  More information about Thomson Reuters can be found on thomsonreuters.com.           Job:    Strategy/Business Development Family Group            Description   Company Overview Thomson Reuters is the leading source of intelligent information for the world’s businesses and professionals. We combine industry expertise with innovative technology to deliver critical information to leading decision makers in the financial and risk, legal, tax and accounting, intellectual property and science and media markets, powered by the world’s most trusted news organization. Position Overview Thomson Reuters is looking to recruit an experienced professional to lead the Corporates & Supply Chain business within the within the Financial & Risk Division’s Go-To-Market (GTM) organization for ASEAN.  This is an exciting role which combines business development,...      Show More           More Jobsat Thomson Reuters            Singapore  14 days ago            Singapore  14 days ago            Singapore  14 days ago       Similar jobs              Singapore  1 day ago               Singapore  28 days ago               Singapore  26 days ago                 Singapore  26 days ago               Singapore  19 days ago               Singapore  21 days ago                 Singapore  24 days ago               Singapore  2 days ago               Singapore  2 days ago             Similar jobs             Singapore  24 days ago               Singapore  13 hours ago               Singapore  13 days ago               Singapore  7 days ago               Singapore  4 days ago               Singapore  16 days ago               Singapore  8 days ago               Singapore  2 days ago               Singapore  25 days ago     Share this job          Friend's email:  Your email:                            Get email updates when Thomson Reuters posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
560108752,Actuarial Specialist,2017-05-31T11:29:12Z,1,"A glimpse of your daily mission: • Provide technical expertise direction and support in the achievement in local Bancassurance initiatives. • Drive Bank and large direct client relationships. • Review and provide input to bank business plans, strategic plans and scorecards. • Drive and manage the Bancassurance function in all support areas and as specified in the main purposes of the job (above). • To support, manage and contribute to all bancassurance projects. • Establish appropriate project management principles and quality assurance processes. • Establish processes to improve exchange of information on an ongoing basis. • Support local projects/initiatives. • Work with the Regional Bancassurance Team to ensure alignment of initiatives. • Act as the communication and information “hub” within the department. Successful qualifier of this mission: ​ • Minimum 2 years of General insurance experience preferably with knowledge of Group Health and Personal Lines • General Insurance Certifications (BCP & PCI & CGI and Health)       A glimpse of your daily mission:• Provide technical expertise direction and support in the achievement in local Bancassurance initiatives. • Drive Bank and large direct client relationships. • Review and provide input to bank business plans, strategic plans and scorecards. • Drive and manage the Bancassurance function in all support areas and as specified in the main purposes of the job (above). • To support, manage and contribute to all bancassurance projects. • Establish appropriate project management principles and quality assurance processes. • Establish processes to improve exchange of information on an ongoing basis. • Support local projects/initiatives. • Work with...      Show More           More Jobsat AXA            Singapore  25 days ago            Singapore  28 days ago            Singapore  27 days ago       Similar jobs              Singapore  3 days ago               Singapore  8 days ago               Singapore  2 days ago                 Singapore  3 days ago               Singapore  23 days ago               Singapore  22 hours ago                 Singapore  23 days ago               Singapore  22 hours ago               Singapore  18 days ago             Similar jobs             Singapore  1 day ago               Singapore  26 days ago               Singapore  2 days ago               Singapore  14 days ago               Singapore  5 days ago               Singapore  9 days ago               Singapore  22 days ago               Singapore  17 hours ago               Singapore  13 days ago     Share this job          Friend's email:  Your email:                            Get email updates when AXA posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
