id,title,created,description_from_url,description
565172733,Marketing Specialist,2017-06-06T17:49:24Z,1,"Client Description:   Job Details:  Present our range of products & services To provide after-sales support services to customer Contributes information & market strategy by monitoring competitive products Updating customers database, report & quotation    Job Requirements:  Diploma in marketing/business studies/SPM holder Preferably with 1 year working experience in indoor and outdoor sales Excellent interpersonal, communication and negotiation skills Good command of Chinese, Malay and English & computer literate Independent, self-motives, creative and with pro-active working attitude Possess own transport                   Show More           More Jobsat Bizhub            Singapore  21 days ago            Singapore  23 days ago            Singapore  25 days ago       Similar jobs              Singapore  1 day ago               Singapore  1 day ago               Singapore  2 days ago                 Singapore  25 days ago               Singapore  7 days ago               Singapore  6 hours ago                 Singapore  14 days ago               Singapore  13 days ago               Singapore  27 days ago              Similar jobs             Singapore  1 day ago               Singapore  9 days ago               Singapore  13 hours ago               Singapore  24 days ago               Singapore  4 hours ago               Singapore  18 days ago               Singapore  6 days ago               Singapore  18 hours ago               Singapore  17 days ago     Share this job          Friend's email:  Your email:                            Get email updates when Bizhub posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
565172741,Sales & Marketing Executive (Regional),2017-06-06T17:49:24Z,1,"Established European MNC (industrial/Machinery equipment).    Responsibilities:    To ensure the sales team promote and recommend the right product and solution to the customer.   To provide technical support/product knowledge to the sales team.   To conduct sales training and prepare marketing tools for the team.    Requirements:    Diploma in Mechanical/Industrial Engineering.   At least 3-5 years' of relevant experience.   Prior experience in Logistics/Warehouse will be an advantage.   Proficient in MS Office, able to conduct presentation.   Possess goo analytical and planning skills.   Singaporeans only need to apply.    Other Information:  ​    5 days' work week.   Working locations: Loyang.   Working hours: 8.30am - 6pm.    To apply, please visit www.gmprecruit.com and search for Job Reference: 11304.   To learn more about this opportunity, please contact Novita Tan at novita.adisutanto@gmprecruit.com   We regret that only shortlisted candidates will be notified.   GMP Recruitment Services (S) Pte Ltd | EA License:  09C3051 | EA Personnel:  Novita Tan | Registration No: R1220374                  Show More           More Jobsat GMP GROUP            Singapore  23 days ago            Singapore  24 days ago            Singapore  19 days ago       Similar jobs              Singapore  16 days ago               Singapore  1 day ago               Singapore  24 days ago                 Singapore  24 days ago               Singapore  18 days ago               Singapore  19 days ago                 Singapore  4 hours ago               Singapore  17 days ago               Singapore  6 hours ago              Similar jobs             Singapore  2 days ago               Singapore  21 days ago               Singapore  13 hours ago               Singapore  11 days ago               Singapore  10 hours ago               Singapore  2 days ago               Singapore  2 days ago               Singapore  7 days ago               Singapore  14 days ago     Share this job          Friend's email:  Your email:                            Get email updates when GMP GROUP posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
565173167,Technical Services Coordinator,2017-06-06T17:49:56Z,1,"Description     The Backup & Storage Engineer will be part of a high-performing global team responsible for managing MSD's large, geographically dispersed NAS, SAN and Backup infrastructure. He/She will leverage industry leading tools and processes to provide high quality, reliable, and cost effective data storage services to the global MSD customers.  The primary job responsibilities include:    Independently identify, evaluate and provide engineering for technologies within the Backup & Storage services.). Identify, develop, test and deploy Backup & Storage infrastructure.   Take initiative to influence next generation storage services in MSD is heading, what technologies, capabilities and standards.   Plan and execute proof of concept work for new technologies, see them through the whole cycle from idea to implementation.   Lead projects and teams focused on engineering work. Plan work, deliver to timelines, and proactive manage independently.   Actively participate in research and evaluation of standard technology resources vs. external options, and provide input on technical solution alternatives.   Drive platform roadmaps with the development of new engineering releases of Storage infra software and hardware standards.   Drive process improvements through the use of automation.   Drive innovation with thought leadership and technical expertise.   Act as a Storage subject matter expert and offer help and advice to colleagues from various other teams.          Qualifications      MSc Degree or BSc Degree or equivalent with relevant experience in Computer Science, Computer Science Engineering, Math, or equivalent experience.    Technical Skills requirements:     7-10 years relevant IT Technical Experience in Enterprise Storage and Backup related Infrastructure.     Enterprise Backup and Recovery, Archive solutions    Network Attached Storage (NAS)    Storage Array Network (SAN)    Cloud storage     At least 10 years relevant IT Systems Administration experience in Storage and Backup related Infrastructure:     Experience with enterprise backup & Recovery, Archive applications and solution like Commvault and Tivoli Storage Manager.    Experience with deduplication technology, backup storage technology and appliance such as DellEMC Data Domain/DD Boost and HPE StoreOnce/Catalyst.    Comprehensive knowledge in backup methods for WMware, MS SQL, Oracle, SAP Oracle, SAP HANA, major Operating Systems.    Experience with backup/recovery infrastructure and solution design, Engineering and deployment in an enterprise scale environment    Experience with Commvault integration with cloud storage, such as AWS S3 and Azure Blob storage.    Experience with EMC Unisphere, EMC Solutions Enabler, EMC ViPR, VNX Monitoring and Reporting, HP 3PAR Management Console, IBM XIV Storage Management Console, Cisco Fabric/Device Manager, NetApp Operation Manager, Isilon InsightIQ    Experience with SRDF, SANCopy, Open Replicator, Replication Manager, Clone and Snap, FAST for VNX and VMAX      5-7 years relevant working knowledge in File Services related administration      NTFS security principles, Unix security principles    CIFS/SMB share management, NFS mount management  Global Namespace Technologies – Microsoft DFS, Isilon OneFS      3-5 years relevant Experience and working knowledge in the following     Experience with ITIL, Remedy, CMDB, Change Control process    Support storage hardware, configurations, upgrades, capacity/performance planning, troubleshooting issues escalated from off shore team.    Platform OS administration, i.e. Unix, Linux, VMware, etc.    Powershell scripting – Storage Modules and IT automation.     Experience in Converged Infrastructure and Hyperconverged infra is a plus    Soft Skills' requirements:     Individual must demonstrate a high level of business acumen; ability to get along well with diverse personalities—flexible    Strong analytical and reasoning abilities. Mindset that enables solving complex problems in a fast-paced environment while delivering on service promises. Able to develop and adapt business processes after evaluating multiple solutions    Able to maintain both a short and long term vision around business trends and strategies    Able to contribute to the development of current and future service delivery offerings to support the overall client relationship needs    Exercises sound, prudent and ethical business judgment at all times    Understands cross-cultural business practices; demonstrates a sensitivity and awareness to other people and culture. Possess ability to build rapport with a diverse workforce in multicultural settings    Possess strong negotiation skills; demonstrated ability to influence and negotiate required    Able to manage multiple initiatives at one time. Comfortable performing multifaceted projects in conjunction with normal activities in a demanding, fast-paced work environment    Can think big picture and also demonstrate an ability to be detail oriented; anticipate and know when to get into the details    Tactical, as well as strategic thinking and creative problem solving    Ability to collaborate with others    Good negotiation and presentation skills    Fluent in English, in both oral and written communication    Understanding and effectively communicating across multiple languages and cultures is an advantage.       Job  :   Engineering, Development & Integration   Job Title : Sr. Spclst, Eng., Dev. & Integration                      Description   The Backup & Storage Engineer will be part of a high-performing global team responsible for managing MSDs large, geographically dispersed NAS, SAN and Backup infrastructure. He/She will leverage industry leading tools and processes to provide high quality, reliable, and cost effective data storage services to the global MSD customers.  The primary job responsibilities include:   Independently identify, evaluate and provide engineering for technologies within the Backup & Storage services.). Identify, develop, test and deploy Backup & Storage infrastructure. Take initiative to influence next generation storage services in MSD is heading, what technologies, capabilities and standards. Plan and execute...      Show More           More Jobsat Merck Sharp & Dohme            Singapore  25 days ago            Singapore  8 days ago              Similar jobs             Singapore  20 days ago               Singapore  1 day ago     Share this job          Friend's email:  Your email:                            Get email updates when Merck Sharp & Dohme posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
565173159,"Specialist / Senior Executive, Digital & Content",2017-06-06T17:49:58Z,1,"• Leding Privte Eduction Institution     • Good Working Environment     • Work-life Blnce     JOB DESCRIPTION    1. Lbortory duties:    Preprtion of lbortory equipment HW/SW   Clering nd clening up fter ech lbortory session    2. Responsible for  lbortory  inventory nd procurement of  lbortory mterils nd equipment:    Keep record nd regulr report to  the Senior Lbortory Engineer or Mnger   Obtin quottions nd discuss requirements with the Senior Lbortory Engineer or Mnger    3. Teching ssistnce:    Provide ssistnce nd support to the lbortory prcticl sessions   Assist the students in their projects through procurement plnning, technicl ssistnce if required    4. Equipment mintennce HW/SW:    Lbortory equipment trouble shooting, minor repir, servicing nd mintennce   Mnge, setup, instlltion nd mintennce for the computer nd its softwre in the lbortory    5. Design nd FYP (Finl Yer Projects) Projects    Design nd build “Design Competition” rig   Assist students in their Design projects nd in their FYP ctivities     Job Requirements     Diplom or Degree in Engineering discipline    At lest 1 yer of relevnt experience in relted industry   Able to operte lbortory equipments nd perform trouble shooting   Knowledge of lbortory sfety requirements   Willing to work on rottionl shift duties    We regret to inform tht only shortlisted cndidtes will be notified.           WORK LOCATION View lrger mp / directions View lrger mp     Address   355 Jln Bukit Ho Swee Singpore          • Leding Privte Eduction Institution • Good Working Environment • Work-life Blnce JOB DESCRIPTION 1. Lbortory duties: Preprtion of lbortory equipment HW/SW Clering nd clening up fter ech lbortory session 2. Responsible for  lbortory  inventory nd procurement of  lbortory mterils nd equipment: Keep record nd regulr report to  the Senior Lbortory Engineer or Mnger Obtin quottions nd discuss requirements with the Senior Lbortory Engineer or Mnger 3. Teching ssistnce: Provide ssistnce nd support to the lbortory prcticl sessions Assist the students in their projects through procurement plnning, technicl ssistnce if required 4. Equipment mintennce HW/SW: Lbortory equipment trouble shooting, minor repir,...      Show More           More Jobsat PSB Academy            Singapore  22 days ago            Singapore  22 days ago            Singapore  26 days ago              Similar jobs             Singapore  14 days ago               Singapore  15 days ago               Singapore  17 days ago               Singapore  21 days ago               Singapore  15 days ago               Singapore  15 days ago               Singapore  22 days ago     Share this job          Friend's email:  Your email:                            Get email updates when PSB Academy posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
565173215,"Engineer, Road Safety Engineering",2017-06-06T17:49:59Z,1,"You will be responsible for drafting plans, designing and coordinating in various road safety engineering measures and projects. In addition, you will also play a significant role in LTA’s strategic drive for customer service handling feedback from the public and other agencies. You will also be given the opportunity to work with other Divisions as well as external professionals and agencies. Requirements:∙ Diploma in Civil Engineering∙ Possess initiative and leadership skills with lateral thinking aptitude∙ Able to work in a team∙ Class 3 driving license is preferred as you are required to conduct site checks and assessment of the site∙ Good knowledge of CAD software such as AutoCAD/Microstation Please note that your application will be directly submitted to the Land Transport Authority (LTA) portal hosted by a third party. If you are applying via Careers@Gov (PSD), please go to our LTA career site (http://careers.lta.gov.sg) if you wish to check on your application status.     You will be responsible for drafting plans, designing and coordinating in various road safety engineering measures and projects. In addition, you will also play a significant role in LTA’s strategic drive for customer service handling feedback from the public and other agencies. You will also be given the opportunity to work with other Divisions as well as external professionals and agencies.Requirements:∙ Diploma in Civil Engineering∙ Possess initiative and leadership skills with lateral thinking aptitude∙ Able to work in a team∙ Class 3 driving license is preferred as you are required to conduct site checks and assessment of the site∙ Good knowledge...      Show More           More Jobsat Land Transport Authority            Singapore  22 days ago            Singapore  22 days ago            Singapore  21 days ago       Similar jobs              Singapore  24 days ago               Singapore  1 day ago               Singapore  23 days ago             Similar jobs             Singapore  13 days ago               Singapore  26 days ago               Singapore  27 days ago               Singapore  26 days ago               Singapore  26 days ago               Singapore  12 hours ago               Singapore  25 days ago               Singapore  1 day ago               Singapore  24 days ago     Share this job          Friend's email:  Your email:                            Get email updates when Land Transport Authority posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
565173241,"Senior Manager, Customer Service",2017-06-06T17:50:01Z,1,"Systems Engineering (ASEAN) in Singapore Singapore - OPNET - CDBF04 | Recruit.net Singapore .email{word-wrap:break-word;}.p-description h1,.p-description h2,.p-description h3{font-size:14px;}.p-description h4,.p-description h5,.p-description h6{font-size:13px;}@media screen and(-webkit-min-device-pixel-ratio:0){.form-control{font-size:16px;}}@media(min-width:768px){.form-control{font-size:14px;}}.expire_box{margin-left:20px;margin-top:20px;text-align:center;border:1px solid #86cc7b;padding:5px;background:#defcc5;-webkit-border-radius:4px;-moz-border-radius:4px;border-radius:4px;font-family:arial;}.expired{color:red;font-weight:normal;font-size:16px;}
                Yes, email me more job leads like this one. Saving job alert ....            You can cancel your alert at any time.We won't send you spam or sell your email address. Create Alert          Change Country:                                                                  |              Find Jobs                                 8 hours ago from           Systems Engineering Director – ASEAN Riverbed® is about changing the rules. Forget about how things work today – join us as we solve the problems of the future. Do you thrive on change? Do you like the constant challenge of the new? Do you value simplicity? Our intelligent insights and hard work makes things easy for our customers so we can enable them to serve their customers. Can you help us deliver technology without disruptions – technology that just works? Riverbed Technology is the leader in application performance infrastructure, delivering the most complete platform for location-independent computing. Location-independent computing turns location and distance into a competitive advantage by giving IT the flexibility to host applications and data in the most optimal locations while ensuring applications perform as expected, data is always available when needed, and performance issues are detected and fixed before end users notice. Riverbed’s 24,000+ customers include 97% of the Fortune 100 and 95% of the Forbes Global 100. Responsibilities * Establish technical and professional development plans for the Systems Engineering Team. * Develop educational programs to grow knowledge base of SE Team. * Implement and manage guidelines/baselines for the Systems Engineering Team. Manage non-performers to ensure the highest performance within the organization. * Leverage the Corporate Systems Engineering team to provide technical development for the SE Team, drive success, drive product requirements, competitive strategies and critical account resolution. * Create an atmosphere in which timely and high quality information flows smoothly between corporate, employees and management. * Focus on customer needs. Driven to grow Customer Satisfaction. * Foster teamwork across the territory, build and lead effective teams committed to organizational goals; encourage collaboration, use teams to address relevant business and customer goals. * Collect customer product requirements, develops business cases and drives the PM group to provide our * Customers with acceptable solutions. * Work with peers to solve corporate-wide problems such as SE organization growth, employee retention, and recognition with the appropriate commonality among SE forces. Technical/Business Knowledge * Thorough understanding of organizational structures, management practices, staff development and retention. * Solid knowledge in one or more of the relevant area’s: WAN/LAN Network Design, In Depth knowledge of TCP/IP, Routing and Switching , Cisco experience highly desirable, Application knowledge (CIF’s, MAPI, MS SQL, NFS) Server Technology, OS knowledge (Linux, MS), Storage Technology, Troubleshooting and Problem Resolution * Have knowledge of WAN networking solutions, product line offering, Application performance criteria. * Thorough competitive knowledge including industry, technologies and product offerings, evolving technologies * Understand and be conversant about company, its solutions, and product strengths, weaknesses, opportunities and threats. * Solid knowledge and experience of customer management practices. * In-depth understanding and experience in management of all aspects of sales support processes. * Must have a clear understanding of selling cycles, selling strategies and the skills and responsibilities of an AM and SE team. Education/Experience * BS/BA (EE/CS) or equivalent. * MBA or equivalent highly desirable. * Pre-Sales experience required. * Experience 10+ years related experience. 5+ year’s management experience. Why Riverbed Technology? If you’re a high-achiever who wants to be part of a dynamically growing, billion-dollar-plus San Francisco-based company, then you should consider Riverbed. If you want to rapidly develop your career with a company that is also a great place to work, Riverbed should be at the top of your list. Riverbed recently won recognition from two of the most well reputed barometers of the work environment. We are the Glassdoor “Employees’ Choice” award winner as one of the top places to work, ranking #17 overall and #9 among technology companies. Additionally, we’ve been recognized with a Sloan award for work-life balance, which underscores our core values at Riverbed. If you can add to our collective talent and unique culture, then this job might be right for you! Additional information about Riverbed (NASDAQ : RVBD ) is available at www.riverbed.com We are proud to be an EEO/AA employer. M/F/D/V/LGBT. Job Segments: (OPTIONAL) Add in key words for search here i.e. Manager, Engineer, Computer Science, Cloud, Research, Management, Engineering, Technology, Virtualization, Business Manager, Engineering, Technology, etc. – this will aid in search *Job ID:* 5976 *Job Location:* Singapore *Job Category:* Sales *Date Posted:* Sep 17, 2014                 Show More           Similar jobs              Singapore  15 days ago               Singapore  1 day ago               Singapore  25 days ago                  2 days ago               Singapore  22 days ago               Singapore  19 days ago                 Singapore  3 days ago               Singapore  25 days ago               Singapore  16 days ago              Similar jobs             Singapore  5 days ago               Singapore  16 days ago               Singapore  6 days ago               Singapore  1 day ago               Singapore  9 hours ago               Singapore  17 days ago               Singapore  11 days ago               Singapore  7 days ago               Singapore  23 days ago     Share this job          Friend's email:  Your email:                            Get email updates when OPNET posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
565200496,System Administrator / Labrador / $3500-$4000 / 6 Months Contract /Renewable,2017-06-06T18:35:11Z,0,"﻿ Basic Up To $3500  VB Mon - Friday Office Hours: 9Am-6Pm 3-4 years of relevant experience / Strong In Server Our Client is a ship management service provider Job duties & responsibilities: To setup/maintain and support servers, desktops, notebooks and peripheral. To maintain hardware compatibility across office application, server operating system and PC. To provide end user support on PCs/Notebooks on all office applications. To maintain and support Lotus Notes application. To maintain IT ha…"
565200818,Validation Engineer (Medical Device),2017-06-06T18:40:26Z,0,- Listed Award-winning Medical Device Manufacturing MNC - Specialist in developing solutions for respiratory conditions - Core mission to improve quality of life of patients and prevent progression/escalation of chronic diseases & healthcare costs Responsibilities: : Defining design architecture to provide desired functionality as defined in the product requirements and considering Regulatory Standards as applicable. Identifying and evaluating technical design alternatives to achieve desired fu…
565200821,Financial Controller (Wealth Management) 12 months,2017-06-06T18:40:27Z,1,"Job Reference #:** 145828BR **Business Divisions:** Corporate Center **Your role:** Are you good at designing and implementing networks? Do you enjoy making changes to networks? We’re looking for someone like that to: - design and implement our new Next Generation Networks - analyse networks and define solutions in detail - work with other technicians and users to deliver excellent services - keep up to date with network technology - help build a world class team to upgrade our networks **Title:** Network Services Implementation Engineer **City:** Singapore **Job Type:** Full Time **Country / State:** Singapore **Function Category:** Information Technology (IT) **What we offer:** Together. That’s how we do things. We offer talented people around the world a supportive, stimulating and diverse working environment. We’ll value your passion and commitment. And reward your performance. Why UBS? Video **Take the next step:** Are you truly collaborative? Succeeding at UBS means respecting, understanding and trusting colleagues and clients. Challenging others and being challenged in return. Being passionate about what you do. Driving yourself forward, always wanting to do things the right way. Does that sound like you? Then you have the right stuff to join us. Apply now. **Disclaimer / Policy Statements:** UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce. **Your team:** You’ll be working in the newly formed Next Generation Networks Services located in one of our major hubs - London / New Jersey / Hong Kong / Singapore / Tokyo. We provide end-to-end support for the Next Generation Networks covering planning, building and supporting the networks. You'll work with engineers and support teams to prepare detailed designs for our networks and then proceed to implement the designs in our Data Centres and offices. **Your experience and skills:** You have - a natural ability to solve complex issues - experience in a role like this - designed and implemented networks based on modern technologies that include Juniper, McAfee, ADVA, Aruba, Citrix, Infoblox - banking and financial services experience - strong analytical, problem-solving and synthesizing skills (you know how to create detailed designs and implement them) You are: - a confident communicator who can explain technology to non-technical audiences - resolute and determined **About us:** Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world. We are about 60,000 employees in all major financial centers, in almost 900 offices and more than 50 countries. Do you want to be one of us?                 Show More           More Jobsat UBS Financial Services            Singapore  1 day ago            Singapore  1 day ago            Singapore  1 day ago       Similar jobs              Singapore  15 days ago               Singapore  4 days ago               Singapore  1 day ago                 Singapore  20 hours ago               Singapore  21 days ago               Singapore  20 days ago                 Singapore  13 days ago               Singapore  14 days ago               Singapore  7 days ago              Similar jobs             Singapore  25 days ago               Singapore  1 day ago               Singapore  1 day ago               Singapore  20 days ago               Singapore  13 days ago               Singapore  16 days ago               Singapore  15 days ago               Singapore  6 days ago               Singapore  1 day ago     Share this job          Friend's email:  Your email:                            Get email updates when UBS Financial Services posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
565200822,"Copy of Analysis Engineer, EL_ZJG",2017-06-06T18:40:33Z,1,"公司介绍 液化空气集团是全球工业与医疗保健气体、技术和服务领域的领导者，业务遍及80个国家，员工逾50,000人。液化空气通过不断的革新实现长期的强劲发展，持续的业绩并履行企业责任。 业务单元和业务活动介绍 液化空气集团于1916年进入中国，经过近十年来业务的加速发展，目前在中国设有超过85家工厂，遍布 40多个城市，拥有约4,300名员工。其在华主要经营范围包括：工业及医用气体的运营，及由其全球工程技术业务单元所开展的工程技术业务。公司业务已覆盖中国重要的沿海工业区域，并继续向中部、南部和西部地区拓展。 液化空气通过创造卓越绩效和履行责任追求盈利性增长和可持续的长期发展，并保持在中国的行业领先地位。依托强大的运营竞争力、定向投资和不断创新，公司聚焦能源、环境、高科技和医疗保健等领域，以迎接挑战并创造新的市场机遇。凭借专业团队的全力支持，公司致力于为客户提供可信赖的服务与高附加值解决方案，同时履行企业责任。 任务和职责 1.Responsible for daily mechanical operation and troubleshooting on site on duty;  保证工厂日常设备的正常运行，及时解决故障；  2.Establish Maintenance Plan and ensure the Plan complete in time;  维修计划的制定和执行；  3.Maintain, update, analysis maintenance records to improve the efficiency;  维护、更新、分析维修数据以提高维修效率；  4.Responsible for monitoring the workload and work quality of subcontractor;  管理供应商；  5.Spare parts management.  Routine management of special equipment 备件管理 ， 特种设备的日常管理 胜任力和资质要求 1.Bachelor degree or above, majoring in Chemical Machine or relevant subjects;  本科及以上学历，化工机械相关专业；   2.Fluent Engilish in both oral and written;  良好的英文读、写能力；   3.More than three years equipment maintenance experience in large chemical enterprise.  三年以上大型化工企业设备维修、维护经验。...      Show More           More Jobsat Air Liquide             22 days ago             2 days ago             1 day ago              Share this job          Friend's email:  Your email:                            Get email updates when Air Liquide posts new jobs.   Saving company alert ...              You can cancel your alert at any time.We won't send you spam or sell your email address.  Create                 
#footer {
    font-size: 11px;
    color: #434343;
    clear: both;
    border-top: 1px solid #e9e9e9;
    padding: 26px 26px 10px 55px;
    text-align: left;
    position: initial;
}

#footer div#line-1 {
    margin-bottom: 5px;
}

#footer div#line-1 a {
    color:#434343;
    font-weight: bold;
    display: inline;
}

#footer div#line-1 span {
    display: inline;
}

#footer #line-2, #footer #line-2 a {
    color: #878787;
    font-weight: bold;
}

#footer #countries {
    margin: 18px auto;
}

#footer #countries .line {
    margin: 4px 0;
}

#footer a {
    color: #006ec7;
}


    |  |  |  |  |  |  © Copyright 2017 Recruit.net.  |      -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -        © Copyright 2017 Recruit.net.           Create a Recruit.net account  Save jobs and review them later. To save a job you must login              "
