id,title,created,description_from_url,description
562018880,Oracle PL/SQL Developer,2017-06-02T08:48:37Z,0,-Review database related issues in production and non production databases. guide DBAs for faster resolution of the issues. - Review AWR reports. - Review ASH / ADDM / sql healthcheck reports. - Stabilise databases by improving sqls execution time using sql baselines and profiles. - Suggest on code change with best practices for sqls. - Review or provide solution on architectural changes to the databases. - Participate in database governance valls and write best practices for developers.
562018888,Systems Development Lead,2017-06-02T08:48:50Z,1,"Systems Development Lead Job - VOLT - 5862709 | JobStreet

























 




















Search












 




















 












 









                                Systems Development Lead -                                                                                         








 











Systems Development Lead















	 
		Manager 
		








			Singapore - Across Singapore - Singapore		















 JOB DESCRIPTION
   Systems Development Lead APACRegional role - working with 10 countries across APAC on multi-country software solutionWorking for a global leading Brand, who have Multi-Billion Dollar Revenue Main ResponsibilitiesAs an APAC regional team member you will work with the Stakeholders to determine the technical requirements that are currently using a contract management systemDevelop a Technical Evaluation and Solution of the maintenance requirementsPrepare the presentation and discussion points to Change Control Board.Discuss the technical solution with the development vendor and agree on the scope of work and the timeline.Ensure the development vendor follows agreed guidelines of coding, architecture, unit and integration testing and security.Manage source code check-in/out process for each release.Performance Improvement and Technical UpgradeImplement following Release Management and ITPM Delivery Processes. Essential ExperienceExperience in Software Build and Release Management on Regional/Central Projects where you have proven experience in managing technical topics to deliver standard solutions to multiple countries.Strong communication and coordination skills to deal with various stakeholders from multiple locations.Experience in a software development environment with solid understanding of the full Software Development Life Cycle.Proficient in C# and ASP.NET. Development and maintenance experiences from remote location and working with offshore vendorsGood Knowledge on .NET 2.0, 3.5, 4.0 and clear understanding of the new features available in 3.5 & 4.0 APIExperiences on SQL Server related technologies such as SSRS and SSIS Please forward your CV for consideration. All applications are reviewedPlease send your resume in WORD format by clicking the apply button below or contact Anju Lagah on +65 6701 1504 for a confidential discussion. Please note that only short-listed candidates will be contacted.CEI Reg. Number R1219693 (Anju Lagah). 









						RECRUITMENT FIRM SNAPSHOT			            

EA No.

12C5526												



Industry
Human Resources Management/Consulting


Facebook Fan Page





Company Size
More than 5000 Employees



 



 COMPANY PHOTOS
























 


 COMPANY OVERVIEW

About VOLT

Founded in 1950, and established in Singapore in 2004, VOLT is a NYSE listed Fortune 1000 provider of talent (recruitment), technology and consulting services with 4,200 full time employees, some 30,200 contractors and 192 offices across Europe, North and South America and Asia.

We provide executive search (recruitment / staffing) services for mid to senior roles on contingent, retained and temporary/contract basis delivered by functionally specialized consultants in the following areas:-

Accountancy & Finance
Engineering
Human Resources
Information Technology & Telecommunications
Procurement & Supply Chain
Property
Sales & Marketing, and
Technical Healthcare.

For more opportunities visit our website, www.voltasia.com.sg

Volt Service Corporation Pte Ltd
Company Registration No. 200408881M
EA Registration No. 12C5526



 









 










Advertised: 01-June-2017



							  							     Closing in 2 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
562018890,Java Developers or Senior Developers (J2EE/ Technology Consultancy),2017-06-02T08:48:51Z,1,"This position will be a Lead contributor and Software Engineer with one of Singapore's most reputable software houses. The company have developed an excellent reputation both here in Singapore and regionally, across South East Asia, the Middle East and Africa - and this position will be responsible for helping to drive new product development and innovation.  They are seeking to grow a team of Java Developers or Senior Java Developers depending on level of experience. Main Responsibilities:Manage development, design and assist in architecture for Java projectsAssisting project manager to study requirements of customers and provide necessary technical/functional consultancy for building requirementsEvaluate and recommend solutions for user needs including functional and technical fit analysis, building proof of concept solutions.Have a focus on the quality of code by driving automation and unit testingPerform and manage stages of the SDLC / system implementation and participate in the systems review with Project Lead/Manager.Analyze requests for enhancements/changes and provide solutions including impact analysis.Provide technical advice and functional consultancy to users in the involved products and solutions.Provide technical guidance to junior colleagues& code reviewsKeep abreast of technological advancement, emerging standards and new software or hardware solutions that may affect decisions about system builds or enhancements.Any other duties as and when assigned.RequirementsRelevant qualifications in IT/Computer Science3 - 5 years relevant working experience with Java/J2EE developmentFront end technology experience such us AngularJS, Bootstrap, HTML would be advantageous Experienced in managing enterprise or public sector projects will be advantageous If you are interested to hear more on this opportunity, send me your CV for a confidential discussion toCharmaine.dk@spencer-­ogden.com for more information. Reg no. R1328976EA License 13C6321 


 



WORK LOCATION										





Nearby Transportations				


Raffles Place


Chinatown


Clarke Quay



Address				
One Raffles Place, Office Tower 2, #34-61 Singapore 048616










						RECRUITMENT FIRM SNAPSHOT			            


					Average Processing Time 


										More Than 2 Weeks					
									


EA No.

13C6321												



Industry
Human Resources Management/Consulting


Website





Facebook Fan Page





Company Size
51 - 200 Employees



 



 COMPANY PHOTOS




























 


 COMPANY OVERVIEW

Spencer OgdenThe global energy, engineering and infrastructure recruiter of choice. As a company we are committed to delivering high quality candidates to our clients and providing a world-class service by investing in the best people, infrastructure, services and training. We have established an innovative culture and new way of recruiting that has been recognised by multiple awards and accreditations, including: 'The Queen's Award for Enterprise: International Trade', IS09001, 'International Growth Business of the Year' at the 2014 National Business Awards, Sunday Times 'Fast Track 100' company and a Sunday Times 'International Track 200' company. SectorsOil and Gas, Power Generation, Nuclear, Renewable, Smart Energy, Finance, Mining, Rail, Automotive and Built Environment HistoryFounded in 2010 as a team of 16, Spencer Ogden has grown to a 90 person strong business with 5 offices across 3 continents and a plan for further expansion this year. 2011 saw the business grow to a record £19 million T/O; a 475% increase on the year before. In 2012 we project to double that again! Spencer Ogden is focused on energy and mining recruitment exclusively. By joining the dots of all major energy sectors and providing dedicated service, skills and expertise as one recruitment company, Spencer Ogden allows recruitment consultants to really propel their career forward. Recruitment Consultants at Spencer Ogden deliver the best all-around quality service by investing in the best people, services, infrastructure, systems and training. 



 









 










Apply Now






Advertised: 01-June-2017



							  							     Closing in 2 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
562018897,Sales Engineer (West/ Engineering/ Training provided/ Up to $28K),2017-06-02T08:49:19Z,1,"Our client, a well-known Japanese MNC is currently looking for a Sales Executive position.Responsibilities:Provide technical sales support for Local / Overseas MarketOverseas travelling is requiredJob Requirements:Possess effective communication and writing skillsDegree in Engineering (Mechanical/ Elecrical/ Mechatronic)For interested applicant, kindly send your resume in Ms Word format to karmun@inteasia.comCapita Pte Ltd (Intelligence, A division of Capita) | EA Licence No: 08C2893 | RCB No. 200701282MChong Kar Mun | EA Registration No.: R1653313 


 



WORK LOCATION										





Address				
8 Marina View, #11-01 Asia Square Tower 1, Singapore 018960










						RECRUITMENT FIRM SNAPSHOT			            

EA No.

08C2893												



EA Reg. ID
R1653313


Industry
Human Resources Management/Consulting


Telephone No.
+65 6225 0900


Facebook Fan Page





Company Size
1 - 50 Employees



 



 COMPANY PHOTOS












Say something about this picture...










 


 COMPANY OVERVIEW

Established in November 2012, Intelligence Asia is a joint-venture between Capita Pte Ltd and Intelligence Ltd. Intelligence Asia serves to cater to Japanese clients and candidates seeking specialist and executive positions. Intelligence Ltd was set up by four young Japanese entrepreneurs in a small shared office in Tokyo, Japan in 1989. Now, it has grown to become the second largest Human Resources service provider in Japan with over 4,000 employees across Asia, with 17 offices across Japan, China, Hong Kong and Singapore. Intelligence Group offers wide range of specialised Human Resource services to its clients across various industries. Capita Pte Ltd was established in 2007 and is one of Singapore's fastest growing Human Resources consultancies. It is a premium recruitment expert for international companies in Singapore and Asia, providing local and international placements, contract and temporary staffing, outplacement as well as payroll services across all industry sectors.Intelligence Group• Intelligence Ltd: http://www.inte.co.jp/en/• Intelligence China Holdings: http://corp.yingchuang.com/• Intelligence Hong Kong: http://www.inte.com.hk• Intelligence Global Search: http://inte-global.com/en/• Intelligence Executive Search, Ltd: http://executive.inte.co.jp/ (in Japanese Only)• Intelligence Business Solution Ltd: http://www.ibs.inte.co.jp/ (in Japanese Only)• Intelligence Benefits, Ltd: http://benefics.inte.co.jp/ (in Japanese Only)• Intelligence HITO Research Institute, Ltd: http://hito-ri.inte.co.jp/ (in Japanese Only)• BPO Solutions, Ltd: http://bsol.co.jp/ (in Japanese Only)• EC Partners Corporation, Ltd: http://www.ecpartners.co.jp/ (in Japanese Only)



 









 










Apply Now






Advertised: 01-June-2017



							  							     Closing in 1 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
562018905,Software Programmer - (S$3K - S$4K /5 Days/ Global Technology MNC),2017-06-02T08:49:31Z,1,"S$3,000 to S$4,000    East/ Global Technology MNC/ 5 Days work week    Perm Position                              Our Client is a well-known and established Leader in Global Technology Industry. They are looking for unique individual to join their growing business as a Software Programmer RESPONSIBILITIES:To maintain our current in-house development system.To perform design, programming, integration, system testing and assist users in UAT and documentation.To perform full process from planning, organizing and reviewing of multiple projects to achieve quality standards.Report project status to management on monthly.REQUIREMENTS:Experience with web application in .NET Design and programming skill with VB.NetExperience in MySQL and Database scripts.Good communicator & self-motivated.Strong problem solving, analytical and business flow skills.Diploma/ Degree in Computer Science/ IT or equivalent with at least 3 years of experience.Good knowledge with PHP programming will be an advantage.Experience with Web base programming will be an advantage.OTHER INFORMATION:         Location                  : East         Working days         : 5 days - 9am to 6pm Monday to Friday         Salary                      : $3,000 to $4,000  (salary will commensurate according to experience & qualifications).The Company strives to achieve employee satisfaction and provides conducive working environment, attractive incentives and remuneration to all staff. HOW TO APPLY: If you are a self-driven, resourceful & independent, and more importantly, believe that YOU CAN MAKE A DIFFERENCE, we would like to hear from you. Simply submit your application by emailing a detailed copy of your updated Resume in MS Word Format to Wynn Tham Guo Yao (EA Personnel Reg. No.: R1764185) Email: ascend4 @ achievegroup.asiaor call your friendly Consultant, Wynn, at 6590 9946 or 8282 3717 for a confidential discussion.                                  Please indicate the below information in your resume:         Current & Expected Salary                                                   Reason(s) for leaving                                              Notice Period / Availability to commence workWe regret only short listed candidate will be notified. All applications will be treated with the strictest confidence.By submitting any application or résumé to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employers for their consideration. YOUR SUCCESS IS OUR ACHIEVEMENT! 


 



WORK LOCATION									




Address				
6 Shenton Way Tower 1 #39-03 Singapore 068809










						RECRUITMENT FIRM SNAPSHOT			            

EA No.

05C3451												



EA Reg. ID
R1764185


Industry
Human Resources Management/Consulting


Telephone No.
+65 6323 0050


Facebook Fan Page





Company Size
51 - 200 Employees



 



 COMPANY PHOTOS

























 


 COMPANY OVERVIEW

Founded in Singapore in 1990, Achieve Group is a multi award-winning organisation and HR outsourcing partner-of-choice for local conglomerates and multinational corporations within the Asia Pacific region.With offices in Singapore, Malaysia and Hong Kong, Achieve Group offers a full suite of Talent Acquisition and HR Consulting solutions for your company's HRM needs. As the experts in talent recruitment and human resource engagement services, we pride ourselves on the timely delivery of these services through our team of dedicated and experienced professionals.As a progressive organization that firmly believes in the pursuit of excellence, Achieve Group is always constantly evaluating and seeking to improve ourselves to fulfill our mission, because we believe that 'Your SUCCESS is our ACHIEVEment'!



 









 










Apply Now






Advertised: 01-June-2017



							  							     Closing in 1 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
562018908,Senior Software Developer [URGENT / Central / Attractive Salary / 5 Days],2017-06-02T08:49:34Z,1,"• Company Benefits & Incentives• Career Development Opportunities• Fast-track Career ProgressionInterested applicants can send your resume to ✉ nicolephang@thesupremehr.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered. Requirements:Trustworthiness: Having excellent attendance, being reliable, responsible, and fulfilling obligationsIntegrity: Consistency of actions, methods, principles, expectations, and outcomesHave the passion and initiative to upgrade oneself in technology trend and programmingAble to investigate, analyse and resolve technical issues with minimum supervisionAt least 5 years of working experience in software developmentGood working knowledge of Microsoft Excel using formulaProficient in programming (C# .NET, ASP, MVC, RESTful services, MS SQL, jQuery, AJAX, HTML, JavaScript, CSS, Bootstrap)Proficient in constructing query, view, job, stored procedure and user defined function in MS SQL ServerStrong foundation in system design (E.g. class design, database design) to ensure performance, scalability and maintainability in any projectKnowledge of Cloud computing like Microsoft Azure and Amazon Web Services will have added advantageResponsibilities:Responsible for the development of systems and projects through the entire application development life cycleIdentify modifications needed and implement enhancements in existing applications to meet changing requirementsPerform database administrationInvestigate and resolve technical issuesProduce technical documentation for new and existing applicationsAssist in day-to-day operations supportPerform standby and on-call duties to provide support outside normal business hoursProvide Level 3 technical support Please include the following in your Resume Document *(*.DOC/PDF - Files should not exceed 2MB)       • Name   • Contact No.   • Nationality/PR Status   • Location/Address   • Recent Photo   • Expected Salary  









						RECRUITMENT FIRM SNAPSHOT			            


					Average Processing Time 


										More Than 2 Weeks					
									


EA No.

14C7279												



EA Reg. ID
R1652832


Industry
Human Resources Management/Consulting


Website





Facebook Fan Page





Company Size
1 - 50 Employees



 


 COMPANY OVERVIEW

Here at The Supreme HR Advisory, we pride ourselves on being a vibrant recruitment firm with strong Southeast Asia standing. We believe in customizing our services to your unique needs. We are dedicated, enthusiastic and we take innovative approaches in customizing our services. Our depth of experience enables us to understand each industry’s challenges and provide expert advice on hiring requirements. Our goal is to leverage on our local knowledge and global expertise to deliver high-quality candidates specifically matched to the requirements of each of our client.



 









 










Apply Now






Advertised: 01-June-2017



							  							     Closing in 1 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
562018910,Senior Software Engineer (ERP),2017-06-02T08:49:35Z,1,"Job ResponsibilitiesDevelop innovative software with an emphasis on ASP.NET, C#, MVC and PHPEnhance and maintain existing software applicationsConducting system testing to ensure applications conform to user requirementsCollaborate with vendors and end-users to gather and define requirementsCan-do and positive attitude RequirementsDiploma / Degree in computer science or equivalentAt least 2 years’ of working experience in software developmentExperience in all phases of the SDLCUnderstanding of object-oriented programming (OOP)Web development experience using ASP.net, HTML/HTML5, CSS, Javascript, JSON, JQuery, Web ServicesKnowledge of Microsoft SQL Server and Oracle DBPossess prior experience in mobile application development (iOS SDK, Android SDK) will be advantageousExperience with cloud computing, especially AWS, Azure will be advantageousExperience in E-Commerce, Retail, ERP, CRM, Accounting System will be advantageousAble to communicate in both English and Chinese (to liaise with mandarin speaking associates)  


 



WORK LOCATION										





Nearby Transportations				


Yew Yee



Address				
6 Mandai Link Singapore 728652










						COMPANY SNAPSHOT			            

Industry
Consulting (Business & Management)


Company Size
2001 - 5000 Employees


Working Hours

						Saturdays/Shift required					


Dress Code

						Casual (e.g. T-shirts)					


Benefits

						Medical					


Spoken Language

						English and Mandarin					



 



 COMPANY PHOTOS























 


 COMPANY OVERVIEW


	We are one of Singapore’s largest retailers with over S$687.4 million in revenue for FY2013, and we are principally engaged in operating the Sheng Siong Groceries Chain, including 33 stores all across Singapore as at 31 December 2013.


	Our stores are primarily located in retail locations in the heartlands of Singapore, and designed to provide our customers with both “wet and dry” shopping options, including a wide assortment of live, fresh and chilled produce, such as seafood, meat and vegetables, in addition to processed, packaged and/or preserved food products as well as general merchandise such as toiletries and essential household products.


	We have also developed a selection of housebrands to offer our customers quality alternatives to national brands at substantial savings. As at 31 December 2012, we offer over 400 products under our 10 housebrands.


	To support our retail operations, we also have an extensive distribution network, food-processing facilities, and warehousing facilities. In May 2011, we completed construction of our new corporate headquarters and warehousing and distribution centre at Mandai Link, at an estimated cost of up to S$65 million. In March 2013, we received HACCP certification for our processing of fish, seafood, meat and vegetables from the receiving of raw materials, storage, processing, packing and transportation of finished products. Our repackaging of dried food from the receiving of raw materials, storage, repacking and transportation of finished products, as well as the receiving, storage and transportation of frozen food and fruits were also HACCP-certified.



 


 WHY JOIN US?


	Do you have the talent, motivation and ambition to be part of our Sheng Siong family?

	 

	We offer challenging and rewarding careers at our head office as well as branches located island-wide.














 










Apply Now






Advertised: 17-June-2017



							  							     Closing in 2 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
562018911,Test Engineer (5 days / AMK / $42K),2017-06-02T08:49:39Z,1,"Job Description Design, Development and Implementation of test processes, equipment, jigs and fixtures for manufacturing of new productsPlan projectDevelop manufacturing test software, system and fixtureInstall and commission test program and systemsPerform circuit board design review for testability and manufacturabilityConduct training and provide document of test systemsMeet departmental cost / quality / engineering objectivesMonitor test yield, take corrective actions and cost reductions Job RequirementsDegree in Electrical and Electronic Engineering2 years’ of relevant experienceTest programming knowledge in Visual Basic, C++, TestStand, LabView and LabWindows CVIGood knowledge of Electronics CircuitProblem solving skillsExcellent interpersonal and communication skillsAble to start work within short notice  









						RECRUITMENT FIRM SNAPSHOT			            

EA No.

15C7832												



EA Reg. ID
R1110944


Industry
Human Resources Management/Consulting


Telephone No.
6704 7417


Company Size
1 - 50 Employees



 


 COMPANY OVERVIEW

 Talents Recruiter Pte Ltd is built on reputation of accelerating coprorate performance by understanding clients' business challenges and delivering precise staffing solutions. We have sound knowledge and are adequately trained in industry and employment trends, enabling us to work towards meeting our clients' needs effectively. With the aim of building a partnershipon trust and understanding, we look forward to working hand in hand with you. Get in touch with us today!!!



 









 










Apply Now






Advertised: 01-June-2017



							  							     Closing in 1 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
562018919,System Analyst (NET) - PERM/CBD,2017-06-02T08:49:51Z,1,"My client is a leading Technology company with state of the art projects. They offerOpportunity to learn Excellent Work-Life BalanceStability Allowances+AWS + Variable BonusCandidate Profile:2 years’ experience in requirement solicitation, system design, application development and testingExperience in web development using ASP.NET with C#, .NET MVC, PHP, JQuery, AJAX, Web Service, Database Design & SQL Scripting with MS SQL and MySQLExperience in WPF is an advantageExperience in managing vendors, or coordinate and supervise outsourced deliverables from vendorsGood analytical and problem solving skillsExcellent communication and presentation skillsResponsibilities:Design, maintain and enhance existing and new software systems Liaising with end-users to gather business specifications and provide applications supportWork closely with vendors in evaluating and supporting implementation of new developments and changesConducting system testing to ensure applications conform to user requirementsReviewing software design architecture and updating technical documents  Tel: 62480896EA License : 16C7878EA Personnel Registration No. R1104171 


 



WORK LOCATION										





Nearby Transportations				


Bus NR1 and NR3


Raffles Place MRT



Address				
UOB Plaza1 80 Raffles Avenue Singapore










						RECRUITMENT FIRM SNAPSHOT			            

EA No.

16C7878												



EA Reg. ID
R1104171


Industry
Computer/Information Technology (Software)


Website





Telephone No.
6225 0805


Facebook Fan Page





Company Size
1 - 50 Employees



 


 COMPANY OVERVIEW

Vy Systems is a leader in Technology Talent Consulting  with offices in US, Singapore and India. Founded in 2002, it is  managed by a team of professionals with more than 20 years of global experience in the IT services business, primarily in Technology recruitment and consulting. Our well defined and transparent ‘CUSTOMER SERVICE PROCESS’ has resulted in achieving 96% to 98% target hit rate despite the unique challenges that accompanies every recruitment assignment undertaken. Our team has been involved in successfully sourcing more than 5000 technology experts for global locations. (EA License:16C7878 )



 









 










Apply Now






Advertised: 01-June-2017



							  							     Closing in 1 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
562018925,Web Developer,2017-06-02T08:49:54Z,1,"We're looking for a Web Developer to join our team of front-end developers, web designer and project manager. You will be responsible for designing and implementing complex system architectures for CMS and ecommerce platform using .NET framework. If you have a passion about Web Developer, open source framwork, new technology, curious, enthusiast we would love to hear from you!
 
 Responsibilities and Role

Develop and maintain feature rich websites and web applications
Implementation and Customisation of popular asp based CMS such as Umbraco, SIteCore, Sitefinitiy, DNN , Kentico
Able to lead the development of server side in a cloud environment (MS Azzure) and in a Windows OS Environment
Able to follow and contribute to web development best practices
Liaising with internal teams
Comprehension of User Requirements and Specifications

 
Job Requirements

Diploma/Degree in Computer Science/Information Technology/Computing or relevant discipline
Minimum 5 years working experience in web application development
Good knowledge with relational databases, MsSQL
Must have good knowledge and experience in C# ASP.NET web application development
Experience with .NET Framework 3.5 and above
Required experience working with popular asp CMS such as Umbraco, SIteCore, Sitefinitiy, DNN , Kentico
Possess experience working with MS Azzure
Demonstrated commercial web development experience for Hospitality / Travel Sectors is a plus
Ability to discover and fix errors in code
Ability to manage priorities and conflicting issues in a professional manner
Ability to work well with others, as well as independently

 
Benefits:

Five-day work
Performance base bonus
Insurance and medical cover
12 Days annual leave / year + 1 day every year      

 
Applications
Please apply via online.

Your expected and current salary
Your notice period

 


 



WORK LOCATION										





Address				
Suite 1115, 105 Cecil Street, #11-00 The Octagon 069534 Singapore










						COMPANY SNAPSHOT			            

Registration No.

201105936D



Industry
Advertising/Marketing/Promotion/PR


Website





Telephone No.
-


Company Size
51 - 200 Employees


Working Hours

						Regular hours, Mondays - Fridays					


Dress Code

						Formal (e.g. Shirts + Ties)					


Benefits

						Medical					


Spoken Language

						English					



 


 COMPANY OVERVIEW

Monimedia is a digital brand agency based in Hong Kong and Singapore since 2002. Combining leading web-based technologies with the experience and talents of an international creative design team, Monimedia delivers fully integrated digital marketing solutions to client in Asia Pacific. To cope with our rapid expension we are looking for a talented and passionate web developer to join our experienced team



 


 WHY JOIN US?

WE BELIEVE IN GREAT PEOPLE AND GREAT RELATIONSHIPS
OUR PEOPLE ARE COMMITTED TO DELIVER
BEYOND EXPECTATIONS














 










Apply Now






Advertised: 17-June-2017



							  							     Closing in 1 days |
							  							  Closing on 01-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
