id,title,created,description_from_url,description
559384980,"Marketing Executive CRM/Direct/Digital | $2,800 to $3,000 | Central (EF)",2017-05-30T03:59:06Z,0,"High Performance Korean Skincare Products Looking for an office-hours job? There you go \(^.^)/ Location: Raffles Place Basic Monthly Salary: $2,800 to $3,000 Working Hours: Monday to Friday – 9am to 6pm Job Scope: Plan and execute trade marketing activities, i.e. workshops, animations, pop-up stores etc. Tie up with relevant parties for promotion campaigns, recruitment drives Plan and manage promotion mechanics Liaise with malls on promotions and consumer events Managing in-store collaterals W…"
559384982,Junior Multimedia Creative Designer,2017-05-30T03:59:11Z,0,"Job Responsibilities Minimum Diploma in Visual Communication / Multimedia / Illustration Design or equivalent. Layout of in-store artwork, conceptualize and design company collaterals. Strong CI branding and concepts. Ensure brand consistency, compliance to brand guidelines and directive. Determine size and arrangement of illustrative material and copy. Understands the importance of print and FA filing and workflow, manage integrity of brand library. Job Requirements Proficient in Illustrator, …"
559384987,Infographics Designer,2017-05-30T03:59:13Z,0,"This role is only open to Singaporean or Singaporean PR citizens. Digital graphics, website design, branding, infographics, graphic designer, Adobe Suite, luxury A prestigious wealth management company are looking for a graphic designer who can use their artistic eye to design their visual assets. Experienced in working across all digital graphic mediums, you will be a precise digital artist who can create professional, slick looking work ranging from business presentations to website display. …"
559385336,"Senior Executive, Digital Marketing (Global eTrade Services)",2017-05-30T03:59:46Z,1,"Global eTrade Services) Job - CrimsonLogic Pte Ltd - 5855398 | JobStreet

























 




















Search












 




















 












 










Senior Executive, Digital Marketing (Global eTrade Services)

                                CrimsonLogic Pte Ltd                                
We're sorry this job is closed for applications.
 


 
 
 
 
 

















                Copyright © 2017 JobStreet.com
            











"
559385385,Visual Merchandiser,2017-05-30T03:59:47Z,1,"Responsibilities:


Responsible for conceptualization to execution of design and layout of artwork
Translate visual concepts and produce marketing collaterals (ATL, BTL & In-store).
Preparation of props and attractive displays for designated brands of jewellery
Assist with the designated window display, in-store display and merchandising to ensure consistency with brand concept
Assist in sourcing & producing of Visual Merchandising materials when required


Requirements:

Minimum Diploma holder in Multimedia/Graphic Design or equivalent
Minimum 2 years of experience preferably in high end fashion retail industry
Must be proficient in software such as Adobe Photoshop, Mac. Illustrator and Freehand.
Creative with a hands-on attitude and ability to conceptualize
Pro-active and self-initiative with the ability to multi-task and work in a fast paced environment
Able to communicate in English including Mandarin to liaise with Mandarin speaking associates



If you are someone others want to work with, exemplify our values and want to be part of something big, then this job is for you! You are invited to Apply Now via the button below with your detailed resume with current/expected salary. 

We regret that only shortlisted candidates will be notified

  


 



WORK LOCATION										





Address				
7 Changi Business Park Vista  #01-01 Singapore 486042










						COMPANY SNAPSHOT			            


					Average Processing Time 


										More Than 2 Weeks					
									


Industry
Retail/Merchandise


Website





Company Size
501 - 1000 Employees


Working Hours

						Regular hours, Mondays - Fridays					


Dress Code

						Business (e.g. Shirts)					


Benefits

						Medical					


Spoken Language

						English					



 


 COMPANY OVERVIEW

MoneyMax Financial Services Ltd, is a leading public listed pawnbroking chain with a total network of 49 stores across Singapore and Malaysia. Spearheading the modernisation of pawnbroking in Singapore, the company offers quick and hassle-free financing services to consumers.
 
To support our business expansion, the company is looking for high potentials who share ingenuity energy ad drive for success to join the talent pool.



 


 WHY JOIN US?

As we continue to grow our business, we invite forward looking individuals to join our dynamic group.














 










Apply Now






Advertised: 27-June-2017



							  							  Closing on 27-July-2017









 

 
 
 
 


















                Copyright © 2017 JobStreet.com
            












"
559385641,Specialist / Senior Specialist (Migrant Workers' Centre) 2 years contract,2017-05-30T03:59:51Z,0,"This role require you to: Design banners, posters, flyers, eDMs for both web/ non-web based. Create graphic content for web and social platforms. Maintain and update corporate website. Source quotes and coordinate with suppliers on the production of collaterals. You are expected to handle and follow through projects independently from creative, artwork to production. Provide assistance to distressed or aggrieved migrant workers seeking help from the centre. Organise social support activities an…"
559385619,Assistant/Studio Technical Producer (Editorial) - 1-Year Contract,2017-05-30T03:59:51Z,0,"Responsibilities: · Liaise with Producers, Studio Directors, Assistant Producers and Graphic Designers to meet technical and operational requirements during live transmission · Operate studio robotic cameras, lighting console, vision mixer, audio mixer, server playback, recording machine, graphics playout as well as other essential studio equipment for the transmission of Live News programmes, related studio recordings and Current Affairs Programmes recordings · Provide and ensure proper lighti…"
559385664,Graphics Designer,2017-05-30T03:59:51Z,0,Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in Art/Design/Creative Multimedia or equivalent. At least 1 Year(s) of working experience in the related field is required for this position. Preferably Junior Executive specialized in Arts/Creative/Graphics Design or equivalent.
559385680,Events Services Executive,2017-05-30T03:59:52Z,0,"Regional media company has an opening in its events management division for an Events Services Executive. Having prior experience running corporate events, you will assist the Events Services Manager in putting together high quality events for readers of the company’s business publications. This position will see you responsible for duties including sourcing and negotiating the best deals on suitable venues, establishing relationships and liaising with suppliers, coordination with various vendo…"
559385678,Assistant Marketing Manager,2017-05-30T03:59:52Z,0,"The Role To be responsible for developing and maintaining marketing strategies to meet agreed company objectives. To evaluate customer research, market conditions, competitor data and implement marketing plan alterations as needed. To oversees all marketing, advertising and promotional staff and activities. Key accountabilities Marketing Planning and Execution role:- Marketing campaign strategy and planning - Campaign development and execution Advertising & Promotions - Advertisement developmen…"
559385634,Graphic Designer,2017-05-30T03:59:52Z,0,Job Responsibilities Creates inspirational and commercial graphic solutions based on work brief from Retail Operations Manager and/or Principal office. Responsible for store communication and follow the direction guide from the Principal office. Creates graphic communication and maintain AU identity by following the direction guide from the Principal office. Support theme and event setup. Participates in rebuilding and/or build-up projects under supervision of Retail Operations Manager. Assume …
559385725,Research Fellow (Image Processing),2017-05-30T03:59:53Z,0,"(Job Ref: BMSI/SBIC/RF/BP/29052017) We are looking for a Research Fellow to usher in the next era of automated analysis of multi-modal biomedical images by integrating image processing /computer vision technologies into bio-imaging problems. The successful candidate will join Image/signal processing team and be involved in the team's role of supporting the research performed at the Singapore Bio-imaging Consortium (SBIC). The work involves design, analysis, implementation, integration and visua…"
559385766,Engineer/Senior Engineer,2017-05-30T03:59:54Z,0,"Responsibilities: Responsible to evaluate performance and develop software on Renesas Automotive SOC devices. Required to support Field Application Engineers and customers globally. Any ad-hoc duties as assigned by the Supervisor Requirements: Master or degree in Electrical/Electronics/Computer Engineering or its equivalent. Good understanding of ARM microprocessor basic architecture. Proficient in Linux Kernel, Graphics and drivers and OpenGL Application development Knowledge of Hardware (Digi…"
559385758,Vice-President / Head (Mergers & Acquisitions),2017-05-30T03:59:54Z,0,"Job Description: Working as part of ST Engineering’s Corporate Communications team, reporting to Senior Vice President, Corporate Communication, your role will be to develop and execute communications initiatives and campaigns through various platforms. You will also propose ideas for concepts and content that support business key messages and drive the desired outcome of the initiatives. To be successful in this role, you must demonstrate a sound understanding of PR, have a track record of inv…"
559386264,3D Designer,2017-05-30T04:00:03Z,0,"Responsibilities: Creative flair in conceptualising, proposing and executing designs for marketing, web, print and event production (set design and exhibition) Assist in project planning and development Perform quality checks from production to execution stages with strong logistic & technical knowledge Skills sets such as space planning, concept generating including freehand 3D sketches will be an added advantage Required to provide graphic / 3D designs to support sales proposals, marketing an…"
559386307,"Senior Game Programmer (Unity, C#)",2017-05-30T04:00:05Z,0,Summary: Work as Senior Game Programmer and lead our Virtual Reality Team to design and develop desktop VR non-game applications for the HTC Vive or Oculus Rift. Collaborate with Content Team and Backend Team to integrate Unity application with backend servers and integrate scenes and assets into the Unity application. Implement unique features by using frameworks and writing well documented and efficient code in C#. Design and develop core system architecture for the application. Design and de…
